year,L,Lp_mohun,Lu_mohun,Luw_mohun,Lum_mohun,Luw_Lu_ratio,Lum_Lu_ratio,Lp_L_ratio,Luw_L_ratio,Lum_L_ratio
1967,68472,37221.89288615575,31250.10711384425,13906.73139937009,17343.37571447416,0.445013879431127,0.554986120568873,0.5436075021345331,0.20310099601837378,0.25329150184709315
1968,72265,39314.74501886334,32950.25498113666,14775.023450104964,18175.2315310317,0.4484039185300192,0.5515960814699808,0.5440357713812127,0.20445614682218174,0.25150808179660555
1969,76532,41572.29311489075,34959.70688510925,15778.838920304124,19180.867964805122,0.4513435702467222,0.5486564297532778,0.5432014466483399,0.20617308995327607,0.250625463398384
1970,78966,42650.70281741397,36315.29718258603,16279.75171418903,20035.545468397002,0.44828909515286913,0.5517109048471309,0.5401147686018536,0.20616153425764291,0.2537236971405035
1971,81989,45118.693136514754,36870.306863485246,16499.410664277642,20370.8961992076,0.4474985989503099,0.55250140104969,0.5503017860507478,0.2012393206927471,0.24845889325650514
1972,83454,44802.57954896301,38651.42045103699,17334.630343874716,21316.790107162276,0.44848624297867534,0.5515137570213248,0.5368535905883841,0.207714793106079,0.2554316163055369
1973,81918,44238.59470586346,37679.40529413654,16928.836133014614,20750.569161121926,0.44928618169164647,0.5507138183083536,0.5400350924810599,0.2066558770113359,0.2533090305076043
1974,81867,44123.24319821582,37743.75680178418,16701.758045810293,21041.99875597388,0.4425038592083337,0.5574961407916662,0.5389625025738799,0.20401087185081038,0.2570266255753097
1975,81901,44130.865528670576,37770.134471329424,16882.238703382453,20887.895767946968,0.44697322208893464,0.5530267779110652,0.538831827800278,0.20612982385297435,0.2550383483467475
1976,83840,44916.83421552428,38923.16578447572,17234.669866523476,21688.49591795224,0.4427869501148703,0.5572130498851297,0.5357446829141732,0.20556619592704528,0.2586891211587815
1977,86903,46920.47432800207,39982.52567199793,17886.56380248285,22095.961869515075,0.4473595277401358,0.552640472259864,0.5399177741620206,0.20582216727250902,0.2542600585654704
1978,91277,49684.91977513536,41592.08022486464,18533.289742905243,23058.790481959397,0.44559660499562226,0.5544033950043776,0.5443312091231675,0.20304446621717676,0.25262432465965573
1979,96442,50430.81632620099,46011.18367379901,20420.689300579004,25590.494373219997,0.44382012524071474,0.5561798747592851,0.5229134228469027,0.21174062442275154,0.26534595273034567
1980,100896,54044.43336604109,46851.56663395891,20721.72850438085,26129.838129578053,0.44228464474358364,0.5577153552564162,0.5356449548648221,0.20537710617250288,0.25897793896267496
1981,102251,54338.04208151314,47912.95791848686,21099.64981822276,26813.308100264105,0.4403746029230563,0.5596253970769437,0.531418197196244,0.20635152534667395,0.2622302774570821
1982,102620,54942.99064969256,47677.00935030744,21191.77056470669,26485.23878560075,0.4444861549305638,0.5555138450694362,0.535402364545825,0.20650721657285803,0.258090418881317
1983,102084,53677.29886109578,48406.70113890422,21250.74035783025,27155.96078107397,0.4390041018670272,0.5609958981329727,0.5258150039290759,0.2081691583189359,0.2660158377519883
1984,101052,53132.285859987576,47919.71414001242,20950.70353425276,26969.01060575966,0.43720426781008614,0.562795732189914,0.5257915316865335,0.20732596617833154,0.266882502135135
1985,101239,53202.88780198007,48036.11219801993,21170.150775491096,26865.96142252883,0.4407132427416501,0.5592867572583499,0.5255177135489294,0.2091106270853238,0.2653716593657467
1986,103605,54414.2669356988,49190.7330643012,21610.57887021104,27580.15419409015,0.43932215529217866,0.5606778447078211,0.5252088889117205,0.2085862542368712,0.26620485685140827
1987,106911,56452.902627558666,50458.09737244133,22159.837871784624,28298.259500656706,0.4391730767852466,0.5608269232147535,0.528036428688897,0.20727369374325022,0.2646898775678528
1988,112428,58472.30262289827,53955.69737710173,23566.49598549192,30389.2013916098,0.43677493075074797,0.5632250692492519,0.5200866565526228,0.20961411735058813,0.2702992260967891
1989,117819,61837.68523795661,55981.31476204339,24673.94837387865,31307.366388164737,0.4407532848908392,0.5592467151091608,0.5248532514955704,0.20942249020852877,0.2657242582959008
