sector,employment,gross_output,hp_star
Misc electrical machinery,258.56690389448124,3324.7999999999984,0.07776916021850377
Motor vehicles & equipment,195.48056112523105,2513.5999999999995,0.07776916021850377
Aircraft & parts,566.4316784514723,7283.5,0.07776916021850379
Transportation & warehousing,5165.0,29904.0,0.17271936864633494
Communications except radio & TV,3673.880050766681,5582.100000000001,0.6581537505180273
Radio & TV broadcasting,1408.1199492333192,2139.4999999999995,0.6581537505180274
"Electric, gas, water & sanitary services",5131.0,24866.800000000007,0.20633937619637424
Wholesale trade,5176.0,50280.9,0.10294167367728103
Retail trade,5092.0,33916.100000000006,0.15013518653382904
Finance & insurance,2721.220776541283,33496.49999999999,0.08123895859392127
Real estate & rental,1058.7792234587166,13032.9,0.08123895859392127
Hotels & personal services,1568.9164789152117,21489.200000000008,0.073009534041063
Business services,2015.1799547878043,27601.6,0.073009534041063
Eating & drinking places,942.6479968643766,12911.3,0.073009534041063
Automobile repair & services,443.2335802098894,6070.900000000001,0.073009534041063
Amusements,1998.6578972343125,27375.300000000007,0.073009534041063
"Medical, educational services & nonprofit orgs",259.0670305913079,3548.3999999999996,0.073009534041063
Federal government enterprises,465.29706139709873,6373.100000000002,0.073009534041063
State & local government enterprises,888.6666666666666,0.0,0.0
Gross imports of goods & services,888.6666666666666,0.0,0.0
"Business travel, entertainment, gifts",888.6666666666666,0.0,0.0
Office supplies,888.6666666666666,0.0,0.0
"Scrap, used & secondhand goods",888.6666666666666,0.0,0.0
Government industry,888.6666666666666,0.0,0.0
