year,Lp_st,Y_st,V_star_st,S_star_st,exploitation_rate,Lp_mohun,Y_mohun,lambda_m,V_star_mohun,V_star_hours,S_star_mohun,e_mohun,lambda_wage_goods,e_mohun_method1,Y_per_Wp_st,Y_per_Wp_mohun,Wp_from_Vstar_st,ratio_Lp,ratio_Y_per_Lp_st,ratio_Y_per_Lp_mohun,ratio_Wp_per_Lp_st,ratio_Wp_per_Lp_mohun,exploitation_ratio_components_st,exploitation_ratio_components_mohun
1958,26071.46351079642,52142927.02159284,13628551.3212229,38514375.70036994,2.826006579319541,29165.10818728672,7652139.828764189,7.622732683910417,3440516.116642601,26226134.651852097,32104081.72272135,1.2241255582989294,4.3743258899221145,1.2241255582989292,16.736199634929818,2.224125558298929,3115577.500208965,1.118660184734516,2000.0,262.3730993770087,119.50144259906152,117.96685596189032,16.736199634929818,2.2241255582989297
1959,28113.13248478859,56226264.96957719,15622199.345198607,40604065.62437858,2.5991260722747085,31478.52589708225,8475394.05496837,7.428215300179273,3853842.585037692,28627172.454659425,34329879.33950508,1.1992060827480524,4.483453655234533,1.1992060827480522,16.13651494438995,2.199206082748052,3484411.916906811,1.1197089443559731,2000.0000000000005,269.243676869696,123.9424997834073,122.4276701405165,16.136514944389955,2.1992060827480526
1960,28916.537912916203,57833075.8258324,15998378.247863527,41834697.57796888,2.6149336470123536,32410.483800344755,9198007.04272972,7.04728397136043,4090187.46568402,28824712.56677433,35996255.03391518,1.248798403471587,4.323528902846041,1.248798403471587,15.629270104728556,2.248798403471587,3700305.608534802,1.1208286378525247,2000.0,283.79727681300085,127.9650288592114,126.19951898528932,15.629270104728556,2.2487984034715867
1961,30474.72729863914,60949454.59727828,16837388.19843735,44112066.39884093,2.6198877093618886,34181.83232271453,9985188.010420464,6.846507504323932,4520384.855507156,30948848.835662,37414815.80976707,1.2089243127729654,4.121175366371043,1.2089243127729654,14.918192056851517,2.2089243127729654,4085579.1616709926,1.121645223852124,2000.0,292.119741158086,134.0645027479355,132.24524691449227,14.918192056851517,2.2089243127729654
1962,30795.041095422224,61590082.19084445,16831881.380715456,44758200.81012899,2.6591323808525136,34491.41891805189,10381650.89052106,6.6446886495758,4698036.84444315,31216992.095560305,37765845.74054348,1.2097849025599925,3.9657676081791178,1.2097849025599925,14.511268670024236,2.2097849025599925,4244293.4240526045,1.120031592462435,2000.0,300.9922820277939,137.82392466699878,136.2088598211981,14.511268670024236,2.2097849025599925
1963,30653.562838320744,61307125.67664149,16529335.091307968,44777790.58533352,2.708989220557344,34311.19732511231,10946554.655745951,6.268857810361735,4844903.643248267,30372012.04442692,38250382.60579771,1.2593957407183507,3.771508355501996,1.2593957407183505,13.988483835798858,2.2593957407183503,4382685.5287737725,1.1193216757896434,2000.0,319.0373845605844,142.97475147961833,141.204738422296,13.988483835798858,2.2593957407183503
1964,30796.28592304905,61592571.8460981,16690805.010665772,44901766.83543233,2.690209777583476,34689.76425034491,11301140.06714608,6.139161897690777,5047044.80559969,30984625.166475777,38394903.33421405,1.2391598455015658,3.675244768321922,1.239159845501565,13.562424179074071,2.239159845501565,4541413.174580647,1.1264268794303485,2000.0,325.77736722536866,147.46626219565292,145.49089377422072,13.562424179074071,2.239159845501565
1965,30992.25190366831,61984503.80733662,16713447.108217431,45271056.69911919,2.708660661441945,34775.78988473813,11616173.994848292,5.987477443116985,5196287.098474076,31112651.79007334,38438927.97940293,1.23547578775227,3.568298376831606,1.2354757877522702,13.233607818442522,2.23547578775227,4683870.389521007,1.1220801248270051,2000.0,334.03048596018294,151.13036652127283,149.42254699884023,13.233607818442522,2.2354757877522697
1966,32179.53589260635,64359071.785212696,17368658.432982672,46990413.35223003,2.705471670914798,36059.2038232165,12471643.127239766,5.782590706826479,5582780.735522388,32282935.99948165,39835471.64695135,1.2339482272489393,3.4441083095431773,1.233948227248939,12.762045772574496,2.233948227248939,5043005.873205664,1.1205632033836,2000.0,345.86573759041164,156.7146863160434,154.82262899903375,12.762045772574496,2.233948227248939
1967,33240.90248408764,66481804.96817528,17667355.608950183,48814449.35922509,2.76297429223058,37221.89288615575,13450393.04850804,5.534692220802355,5890923.527832728,32604448.622837365,41839337.149474144,1.2832401379782366,3.3182901356967665,1.283240137978237,12.486640474789256,2.283240137978237,5324234.737310104,1.1197618026157323,2000.0,361.357040321578,160.17118487859366,158.26501746835632,12.486640474789253,2.283240137978237
1968,35248.76580143263,70497531.60286526,18709248.78121817,51788282.82164709,2.768057842794644,39314.74501886334,14541857.610976204,5.407114561373306,6410482.213971177,34662211.72458814,43967278.31313853,1.2684498803043691,3.207030691572869,1.2684498803043691,12.08427714946428,2.2684498803043693,5833822.803872929,1.1153509669057815,2000.0,369.88304525436894,165.50431401589165,163.05541879758874,12.08427714946428,2.268449880304369
1969,36886.69553402321,73773391.06804642,19398813.954215817,54374577.1138306,2.802984617624715,41572.29311489075,15886049.96952328,5.233811198459712,6970184.85890613,36480631.56987723,46663954.65990428,1.279143278276893,3.1085320620383365,1.279143278276893,11.821699615325029,2.279143278276893,6240506.312003604,1.1270267643396163,2000.0,382.1307120494892,169.1804110305176,167.66419017693022,11.821699615325029,2.279143278276893
1970,37978.63228693607,75957264.57387213,19787166.328871787,56170098.24500035,2.838713604132473,42650.70281741397,16587763.467191013,5.142429586938942,7263419.052018354,37351621.03543519,47949784.59939276,1.2837403911841785,3.0238971877287604,1.2837403911841787,11.607875272032318,2.2837403911841787,6543597.5830031,1.1230183987453652,2000.0,388.9212221942179,172.2968203163539,170.3001022776289,11.607875272032318,2.2837403911841787
1971,40534.85419836873,81069708.39673746,21172370.35368977,59897338.04304768,2.8290331711776995,45118.693136514754,17933616.71895176,5.031745000865836,7979415.1397638945,40150382.23934014,50087004.033689365,1.247485110729858,2.91133822730532,1.247485110729858,11.147610644869753,2.247485110729858,7272384.278513225,1.1130838886384966,2000.0,397.4764221270853,179.41064356427097,176.85386222559092,11.14761064486975,2.247485110729858
1972,39943.86833056133,79887736.66112266,20651885.407266904,59235851.253855765,2.8683023407156854,44802.57954896301,18811634.68914961,4.763284030260778,8184177.749654616,38983563.17574543,50621595.92218059,1.29853691654528,2.7931467526636253,1.29853691654528,10.804736121291116,2.29853691654528,7393770.26558761,1.1216384747264012,2000.0,419.8783837567009,185.10401156941992,182.672020942688,10.804736121291116,2.29853691654528
1973,39466.753662746654,78933507.3254933,20966372.10528108,57967135.22021222,2.764767072201836,44238.59470586346,18847122.262987807,4.694466782628106,8222493.484274464,38600222.532302506,49876966.879424416,1.2921419517124544,2.8197642244721903,1.2921419517124542,10.61575550366565,2.292141951712454,7435505.395563919,1.1209078680221178,2000.0,426.03347570825474,188.3992146681783,185.866968400437,10.61575550366565,2.292141951712454
1974,39448.44540222764,78896890.80445528,20916000.978356555,57980889.826098725,2.772082956302027,44123.24319821582,19267003.59965286,4.580187362295485,8380623.328443402,38384825.05709519,49861661.33933645,1.2989941015797293,2.756113224429924,1.298994101579729,10.39628771951074,2.298994101579729,7588948.375908189,1.1185039802791366,2000.0,436.6633593342011,192.37636105882245,189.93670276672412,10.39628771951074,2.298994101579729
1975,39411.220845864096,78822441.69172819,21031934.79075286,57790506.90097533,2.747750384162667,44130.865528670576,19628898.69801808,4.496519769917244,8555608.630957704,38470463.35277592,49791267.704565234,1.294272628015343,2.7166076617684785,1.2942726280153427,10.181167408012058,2.2942726280153427,7741984.640160121,1.1197538310539743,2000.0,444.78843691079976,196.44112701909825,193.86904218770343,10.181167408012058,2.2942726280153427
1976,40109.45237271581,80218904.74543162,21717133.99914036,58501770.74629126,2.693807145482777,44916.83421552428,20629182.449819364,4.354688735221069,8928534.962592036,38880990.62362701,50952677.80742155,1.3104778708096725,2.691939311840612,1.3104778708096725,9.943504665282845,2.3104778708096725,8067467.904501636,1.119856581389744,2000.0,459.2750760401865,201.13632640842232,198.7792576776511,9.943504665282845,2.3104778708096725
1977,41950.48368577684,83900967.37155367,23256155.0051408,60644812.36641288,2.6076886894246822,46920.47432800207,21806440.302511703,4.303359344954407,9512558.992312023,40935959.63399602,52904989.02200813,1.2923842385771802,2.7020028204843896,1.29238423857718,9.74798501425512,2.29238423857718,8607006.191419022,1.118472785187702,2000.0,464.7531938844372,205.1706067536284,202.73791193613195,9.74798501425512,2.2923842385771795
1978,44355.46624762438,88710932.49524876,24470844.920596987,64240087.57465178,2.6251683496462035,49684.91977513536,23253155.33258045,4.2733916377809456,10262282.560170064,43854752.47717598,55515087.073094726,1.265885313159328,2.6360597881778163,1.2658853131593275,9.556160511877296,2.265885313159328,9283114.529626252,1.120153252312987,2000.0,468.01233528845125,209.2890756192523,206.5472301578675,9.556160511877296,2.2658853131593277
1979,44900.2918225962,89800583.6451924,24428613.050364573,65371970.59482783,2.676041020423475,50430.81632620099,25194835.461463444,4.003266177573339,10630945.230613677,42558503.47735033,58303129.17505165,1.3699525220871691,2.5470133621155635,1.3699525220871691,9.36292559870352,2.369952522087169,9591081.622781135,1.1231734645613494,2000.0,499.59206090371447,213.60844737214816,210.8025609153275,9.36292559870352,2.369952522087169
1980,48332.259732518,96664519.465036,26542156.817547794,70122362.6474882,2.641924057999999,54044.43336604109,27090737.8678409,3.989882714135786,11787337.2214937,47030093.02572707,61058773.70635512,1.298291578393304,2.4872213330744635,1.2982915783933042,9.058271210494716,2.298291578393304,10671409.280950056,1.1181855279503916,2000.0,501.2678675777071,220.7926825687051,218.10455744180848,9.058271210494716,2.298291578393304
1981,48737.754718743294,97475509.4374866,26951719.937178,70523789.50030859,2.616671205574008,54338.04208151314,27913929.88744144,3.893256327620138,11983371.84477046,46654338.2608776,62021745.90214867,1.329388610236865,2.470237251926289,1.3293886102368653,8.934035939978077,2.3293886102368653,10910579.506547833,1.1149065523245394,2000.0,513.7087907136482,223.8629901912962,220.53374368539195,8.934035939978077,2.3293886102368653
1982,49249.054283124,98498108.566248,27236869.92770525,71261238.63854274,2.616351982723832,54942.99064969256,28586077.31095012,3.844038484332106,12385104.130269635,47608816.90921701,62277164.39016811,1.3081014911360112,2.41948584465279,1.3081014911360116,8.749712431482363,2.308101491136012,11257296.664041404,1.11561514123368,2000.0,520.2861543014691,228.57894081224828,225.4173641408604,8.749712431482363,2.308101491136011
1983,47808.69651120373,95617393.02240746,26177257.39961824,69440135.62278922,2.6526894915966985,53677.29886109578,29040267.908402875,3.696749563771353,12335709.98489529,45602030.5054716,61752567.21671996,1.3541626662722954,2.357805679380176,1.3541626662722956,8.612332028298983,2.354162666272296,11102381.179478608,1.1227517748474227,2000.0,541.0158209255696,232.22513872296892,229.8124206439152,8.612332028298983,2.354162666272295
1984,47560.603274684734,95121206.54936948,26475047.628807925,68646158.92056155,2.592862527879518,53132.285859987576,29492022.77537113,3.603163219062648,12518817.767473688,45107343.72590916,61157227.994066,1.3558153272265945,2.3298002077790314,1.3558153272265945,8.370651863975198,2.3558153272265945,11363655.793492371,1.1171491150590285,2000.0,555.0678330137634,238.930017936525,235.61602074608385,8.370651863975198,2.355815327226594
1985,47607.57635148457,95215152.70296912,26230575.295731835,68984577.40723729,2.6299300198140245,53202.88780198007,30020349.971544668,3.5444548682749795,12771813.922434092,45269118.03407367,61136657.56988647,1.3505157649386814,2.2617810526374846,1.3505157649386814,8.210106941215368,2.3505157649386814,11597309.67997283,1.1175298530046052,2000.0,564.2616634510466,243.60218622242851,240.0586594090624,8.21010694121537,2.3505157649386814
1986,48644.458491276586,97288916.98255315,27094942.28668171,70193974.69587146,2.590667068162559,54414.2669356988,31640951.36912356,3.4394836173477583,13408841.739173494,46119491.48949606,62709042.38190154,1.3597080183805546,2.227845582889923,1.3597080183805548,7.999451767434266,2.3597080183805548,12161948.069818474,1.1186118341816245,1999.9999999999995,581.4826359144669,250.017133441818,246.4214349339428,7.999451767434266,2.3597080183805543
1987,50526.40124827413,101052802.49654828,28131796.781185947,72921005.71536231,2.5921204494172447,56452.902627558666,32982239.33442828,3.4232304274519474,14096746.884555548,48256412.863299,64649392.39181833,1.3397057210812051,2.1990658984723512,1.3397057210812051,7.899309583518641,2.3397057210812053,12792611.990722315,1.117295141408611,2000.0000000000005,584.2434631222542,253.1866840834876,249.70809698762815,7.899309583518641,2.3397057210812053
1988,52250.98505178197,104501970.10356396,28401829.32435352,76100140.77921043,2.679409833434826,58472.30262289827,35284415.45179614,3.314341579657473,14810055.421461578,49085582.48038169,67859022.76541486,1.382463430937923,2.117430429197762,1.382463430937923,7.790894342804371,2.3824634309379227,13413347.10822788,1.119066034160903,2000.0000000000005,603.4381043509384,256.7099375243344,253.28325988759383,7.790894342804371,2.3824634309379227
1989,55191.9686133873,110383937.2267746,30662535.396321457,79721401.83045313,2.5999611839018764,61837.68523795661,37811805.6636403,3.270813660053242,16074207.0296331,52575735.92704779,71099634.54886544,1.3523278998418728,2.1076701156542774,1.3523278998418728,7.587530604825378,2.352327899841873,14548071.431379093,1.1204109364375403,2000.0,611.4686459905039,263.5903700642838,259.94192647700504,7.5875306048253774,2.3523278998418733
