year,GFP,GDP,CFC,NDP,FP_star,GFP_GDP_ratio,FP_NDP_ratio
1961,463.88,562209000000.0,70604000000.0,491605000000.0,-70603999536.12,8.251024085349043e-10,-0.14361936826541633
1962,498.2974967672165,603922000000.0,74100000000.0,529822000000.0,-74099999501.7025,8.251024085349044e-10,-0.1398582910896537
1963,525.9615303205748,637450000000.0,78018000000.0,559432000000.0,-78017999474.03847,8.251024085349043e-10,-0.1394593077872529
1964,564.7495945458006,684460000000.0,82390000000.0,602070000000.0,-82389999435.25041,8.251024085349044e-10,-0.1368445520209451
1965,612.4644417289655,742289000000.0,88008000000.0,654281000000.0,-88007999387.53555,8.251024085349043e-10,-0.13451101191618822
1966,671.1498505360106,813414000000.0,95311000000.0,718103000000.0,-95310999328.85014,8.251024085349043e-10,-0.13272608432056424
1967,709.5542421412678,859959000000.0,103557000000.0,756402000000.0,-103556999290.44576,8.251024085349043e-10,-0.13690735784734276
1968,776.1334056907663,940651000000.0,113357000000.0,827294000000.0,-113356999223.8666,8.251024085349043e-10,-0.13702142070880075
1969,839.6365874612466,1017615000000.0,124896000000.0,892719000000.0,-124895999160.36342,8.251024085349043e-10,-0.1399051651867647
1970,885.5848903877384,1073303000000.0,136839000000.0,936464000000.0,-136838999114.41512,8.251024085349043e-10,-0.14612307479456244
1971,961.1205405818832,1164850000000.0,148926000000.0,1015924000000.0,-148925999038.87946,8.251024085349043e-10,-0.1465916732342965
1972,1055.3967417810811,1279110000000.0,161011000000.0,1118099000000.0,-161010998944.60327,8.251024085349041e-10,-0.1440042419719571
1973,1176.0811706678478,1425376000000.0,178686000000.0,1246690000000.0,-178685998823.91882,8.251024085349044e-10,-0.1433283324835515
1974,1274.983721071701,1545243000000.0,206894000000.0,1338349000000.0,-206893998725.01627,8.251024085349042e-10,-0.15458897397092705
1975,1390.2183485500943,1684904000000.0,238510000000.0,1446394000000.0,-238509998609.78165,8.251024085349043e-10,-0.1648997428154304
1976,1545.756753378192,1873412000000.0,260226000000.0,1613186000000.0,-260225998454.24326,8.251024085349042e-10,-0.1613118378502189
1977,1717.7196467505855,2081826000000.0,289832000000.0,1791994000000.0,-289831998282.28033,8.251024085349043e-10,-0.16173714771493672
1978,1940.3099988082724,2351599000000.0,327196000000.0,2024403000000.0,-327195998059.69,8.251024085349043e-10,-0.16162592036254145
1979,2167.818786323236,2627333000000.0,373882000000.0,2253451000000.0,-373881997832.1812,8.251024085349044e-10,-0.1659152996147603
1980,2357.5708876236417,2857307000000.0,428432000000.0,2428876000000.0,-428431997642.42914,8.251024085349043e-10,-0.17639105398646499
1981,2646.137253370188,3207041000000.0,487231000000.0,2719810000000.0,-487230997353.86273,8.251024085349043e-10,-0.17914155670942555
1982,2758.968357532519,3343789000000.0,536963000000.0,2806826000000.0,-536962997241.0316,8.251024085349043e-10,-0.19130612201861877
1983,2998.4535065073665,3634038000000.0,562624000000.0,3071413000000.0,-562623997001.5465,8.251024085349043e-10,-0.18318083468473517
1984,3331.4442110318405,4037613000000.0,598394000000.0,3439218000000.0,-598393996668.5558,8.251024085349043e-10,-0.17399129589009937
1985,3580.1020234823704,4338979000000.0,640137000000.0,3698842000000.0,-640136996419.898,8.251024085349043e-10,-0.17306416343815118
1986,3778.664568301112,4579631000000.0,685295000000.0,3894335000000.0,-685294996221.3354,8.251024085349043e-10,-0.1759722767099737
1987,4006.049590454795,4855215000000.0,730385000000.0,4124830000000.0,-730384995993.9504,8.251024085349043e-10,-0.17707032677563692
1988,4320.597605943697,5236438000000.0,784496000000.0,4451942000000.0,-784495995679.4023,8.251024085349043e-10,-0.1762143342566912
1989,4654.881245942345,5641580000000.0,838258000000.0,4803321000000.0,-838257995345.1188,8.251024085349043e-10,-0.1745163388716096
1990,4920.204476840463,5963144000000.0,888532000000.0,5074612000000.0,-888531995079.7955,8.251024085349043e-10,-0.1750935825398662
1991,5081.087069968641,6158129000000.0,932393000000.0,5225736000000.0,-932392994918.913,8.251024085349042e-10,-0.17842328715398423
1992,5379.937512135167,6520327000000.0,960247000000.0,5560080000000.0,-960246994620.0625,8.251024085349043e-10,-0.17270380904952132
1993,5659.013549978745,6858559000000.0,1003498000000.0,5855061000000.0,-1003497994340.9865,8.251024085349043e-10,-0.1713898445022155
1994,6012.715975162262,7287236000000.0,1055610000000.0,6231627000000.0,-1055609993987.284,8.251024085349044e-10,-0.16939556780071785
1995,6303.575300502126,7639749000000.0,1122381000000.0,6517369000000.0,-1122380993696.4248,8.251024085349043e-10,-0.17221381721618415
1996,6661.152406596123,8073122000000.0,1175306000000.0,6897816000000.0,-1175305993338.8477,8.251024085349042e-10,-0.17038813348150308
1997,7077.358814533385,8577552000000.0,1239325000000.0,7338228000000.0,-1239324992922.641,8.251024085349043e-10,-0.16888613885022938
1998,7477.752134811076,9062817000000.0,1309737000000.0,7753080000000.0,-1309736992522.2478,8.251024085349043e-10,-0.16893118509318203
1999,7946.7032142139315,9631172000000.0,1398934000000.0,8232238000000.0,-1398933992053.2969,8.251024085349043e-10,-0.16993361854374192
2000,8458.085184975695,10250952000000.0,1511225000000.0,8739727000000.0,-1511224991541.9148,8.251024085349044e-10,-0.17291443903704484
2001,8731.175104845352,10581929000000.0,1599511000000.0,8982418000000.0,-1599510991268.825,8.251024085349044e-10,-0.17807131568235024
2002,9017.63333393809,10929108000000.0,1657984000000.0,9271124000000.0,-1657983990982.3667,8.251024085349043e-10,-0.1788331157022996
2003,9452.744488259705,11456450000000.0,1719098000000.0,9737351000000.0,-1719097990547.2556,8.251024085349044e-10,-0.1765467826462511
2004,10080.437845142998,12217196000000.0,1821841000000.0,10395355000000.0,-1821840989919.5623,8.251024085349043e-10,-0.1752552933420323
2005,10758.6728500611,13039197000000.0,1971053000000.0,11068144000000.0,-1971052989241.3271,8.251024085349045e-10,-0.17808342475859792
2006,11399.27080861388,13815583000000.0,2124170000000.0,11691413000000.0,-2124169988600.7292,8.251024085349044e-10,-0.18168633582619392
2007,11942.720384483351,14474228000000.0,2252751000000.0,12221476000000.0,-2252750988057.28,8.251024085349044e-10,-0.1843272439480534
2008,12186.648709928158,14769862000000.0,2358968000000.0,12410894000000.0,-2358967987813.351,8.251024085349043e-10,-0.19007236608525954
2009,11945.887952629717,14478067000000.0,2371277000000.0,12106790000000.0,-2371276988054.112,8.251024085349044e-10,-0.195863394678037
2010,12416.942218071928,15048971000000.0,2390391000000.0,12658580000000.0,-2390390987583.0576,8.251024085349044e-10,-0.18883563461170666
2011,12871.37644569902,15599732000000.0,2474368000000.0,13125364000000.0,-2474367987128.6235,8.251024085349043e-10,-0.18851804697596375
2012,13411.189795254078,16253970000000.0,2575548000000.0,13678422000000.0,-2575547986588.81,8.251024085349043e-10,-0.18829277138757747
2013,13928.292201014214,16880683000000.0,2681603000000.0,14199080000000.0,-2681602986071.708,8.251024085349043e-10,-0.18885751654837554
2014,14528.517073614972,17608138000000.0,2819685000000.0,14788453000000.0,-2819684985471.483,8.251024085349043e-10,-0.1906680154760936
2015,15095.264241091836,18295019000000.0,2922938000000.0,15372081000000.0,-2922937984904.736,8.251024085349043e-10,-0.19014588752848335
2016,15515.979008589333,18804913000000.0,3008109000000.0,15796804000000.0,-3008108984484.021,8.251024085349043e-10,-0.19042516350041572
2017,16181.992596632212,19612102000000.0,3148953000000.0,16463149000000.0,-3148952983818.0073,8.251024085349042e-10,-0.1912728229464489
2018,17043.741103539785,20656516000000.0,3312603000000.0,17343913000000.0,-3312602982956.259,8.251024085349042e-10,-0.19099513373690577
2019,17772.691027998484,21539982000000.0,3477516000000.0,18062466000000.0,-3477515982227.309,8.251024085349043e-10,-0.1925271987904259
2020,17636.79583621038,21375281000000.0,3622850000000.0,17752432000000.0,-3622849982363.204,8.251024085349043e-10,-0.20407626303614085
2021,19576.08683354411,23725645000000.0,3870788000000.0,19854857000000.0,-3870787980423.913,8.251024085349043e-10,-0.194954210973361
2022,21497.72476484724,26054614000000.0,4307374000000.0,21747240000000.0,-4307373978502.2754,8.251024085349044e-10,-0.19806531672535344
2023,22947.349661709435,27811517000000.0,4570723000000.0,23240794000000.0,-4570722977052.65,8.251024085349043e-10,-0.1966681076839565
2024,24173.861091586936,29298013000000.0,4796699000000.0,24501313000000.0,-4796698975826.139,8.251024085349043e-10,-0.1957731398242265
2025,25395.81465575969,30778985000000.0,5064841000000.0,25714144000000.0,-5064840974604.186,8.251024085349042e-10,-0.19696712340897624
