Table,20.21
Title,Gross Domestic Product by expenditure approach (At current prices)
Unit,Million TL (Milyon TL)
Source,TurkStat Statistical Indicators 1923-2011
Pages,742-744
Note_1,Data of 2005 and 2006 years are given as TRY
Note_2,Detailed sub-components of private consumption available from 1987; GFCF from 1980
Note_3,"GFCF public sector columns: Total / Machinery & equipment / Building construction / Other construction"
Note_4,"GFCF private sector columns: Total / Machinery & equipment / Building construction"
Note_5,Page 7 (2003 data) partially cut off in extraction; GDP total for 2003 = 358699628542

Year,Private_final_consumption_total,Private_consump_food_beverages,Private_consump_durable_goods,Private_consump_semi_durable_nondurable,Private_consump_energy_transport_communication,Private_consump_services,Private_consump_ownership_dwelling,GFCF_general_total,GFCF_public_total,GFCF_public_machinery_equipment,GFCF_public_building_construction,GFCF_public_other_construction,GFCF_private_total,GFCF_private_machinery_equipment,GFCF_private_building_construction,Govt_final_consump_total,Govt_consump_wage_salaries,Govt_consump_other_current,Change_in_stocks,Export_goods_services,Import_goods_services,GDP
1993,1369339135,525758114,169580750,237243290,223367242,138783930,74605809,525506203,143766165,46734497,29953621,67078047,381740038,173158837,208581201,258083807,203921577,54162230,21619440,270996674,383358256,2062187002
1994,2706262470,1064258639,252292724,465722227,487770288,296414542,139804050,952322020,221060721,55774449,37539669,127746603,731261299,286018600,445242699,450605289,344529619,106075670,-121416176,826378739,788529800,4025622542
1995,5457902663,2269575343,538020853,915600348,872649853,589889696,272166570,1850225041,304429093,85418339,65985943,153024811,1545795948,754172079,791623869,837243290,619784725,217458565,127148648,1544077290,1890237859,7926359073
1996,9937696971,3754019344,1140389518,1599878168,1780977241,1182570300,479862400,3706403576,687164442,172000657,152535176,362628609,3019239134,1600071181,1419167952,1709247314,1238527311,470720003,-79656115,3182305214,4110584326,14345412634
1997,19619095938,7113449787,2639035121,2966489045,3523412758,2459333218,917376009,7618372044,1636274806,392721255,357786686,885766865,5982097238,3284865527,2697231711,3535103876,2579909797,955194079,-377455276,7088355386,8762822968,28720649000
1998,36122554825,14187905642,4507211782,4957627722,6107740335,4458941268,1903128077,12839212406,3203024465,832416620,749423707,1621184138,9636187941,4987898390,4648289551,6632765693,4915736084,1717029609,-211638918,12713300160,14573224241,53522969924
1999,55927761126,21648690935,6611486917,7691928949,10072905805,6156146408,3746602112,16930592224,4442520158,1182838728,1124500231,2135181199,12488072066,5874467247,6613604819,11747738089,8781478065,2966260024,1148533405,17972067899,20801155230,82925537513
2000,89097791121,32588034190,12661337311,12291948289,15777387297,9535408750,6243675284,27847893060,7470431316,2005150255,2092049265,3373231796,20377461744,11816224206,8561237538,17538950863,12633650459,4905300404,2685222533,29959127862,39284673096,127844312343
2001,128513017080,45733791609,13679680061,18269990245,27063857901,14578775750,9186921513,32408979005,9998612083,2439318742,2755599827,4803693514,22410366922,10151000240,12259366682,25405357911,18525724097,6879633814,-2475257592,60150878060,55861683536,188141290929
2002,184420200819,63760611832,19270684733,27017414903,40021204975,21757580435,12592703942,46043018232,14784107806,3949688705,4447870270,6386548831,31258910426,17309761594,13949148832,38721956729,27838382680,10883574049,13133760987,81134076430,85232382549,278220630648
2003,239585899986,83880149118,28433994331,33540947471,50005827968,27900422643,15824558456,55618334617,14992122084,3200508888,3861580840,,40626212533,,,49004498870,36561477071,12443021799,26328923634,98496338137,110334366702,358699628542
2004,284631316564,93970535009,40537185572,41440281153,55249926778,33518735603,19914652449,,,,,,,,,,42548483255,14226998149,33973662533,124348180953,149299109405,427151939807
2005,328560589120,101447966961,53595387778,49083800255,62653632119,37542900093,24236901914,,,,,,,,,,47719600412,15933657698,,,,
2006,382757061635,112676187644,61631463845,63699321349,70732279849,44255564440,29762244509,,,,,,,,,,,,,,
