Table,11.43,Number of broadcasting institutions employment (continued),NACE Rev.2 60 - Programming and broadcasting activities
Source,TurkStat Radio and Television Institution Statistics
Notes,"A=All type of broadcasting; B=National; C=Regional; D=Local; E=Satellite/cable/internet (from 2009)"
Unit,persons (annual average)
Year,Economic_Activity,Type,Num_Institutions,Employees_Annual_Avg,Persons_Engaged_Annual_Avg
2006,Total,B,46,10092,10098
2006,Total,C,91,575,700
2006,Total,D,931,1961,4117
2006,Radio,A,842,1555,3473
2006,Radio,B,24,355,356
2006,Radio,C,71,319,405
2006,Radio,D,747,881,2712
2006,Radio-Television,A,121,8702,8907
2006,Radio-Television,B,9,8027,8032
2006,Radio-Television,C,14,144,176
2006,Radio-Television,D,98,531,699
2006,Television,A,105,2371,2535
2006,Television,B,13,1710,1710
2006,Television,C,6,112,119
2006,Television,D,86,549,706
2007,Total,A,1040,13055,15515
2007,Total,B,46,10293,10301
2007,Total,C,88,609,712
2007,Total,D,906,2153,4502
2007,Radio,A,825,1730,3753
2007,Radio,B,25,487,493
2007,Radio,C,69,332,412
2007,Radio,D,731,911,2848
2007,Radio-Television,A,104,9195,9413
2007,Radio-Television,B,7,8419,8421
2007,Radio-Television,C,12,161,183
2007,Radio-Television,D,85,615,809
2007,Television,A,111,2130,2349
2007,Television,B,14,1387,1387
2007,Television,C,7,116,117
2007,Television,D,90,627,845
2008,Total,A,1036,13341,15500
2008,Total,B,47,9880,9898
2008,Total,C,88,888,991
2008,Total,D,901,2573,4611
2008,Radio,A,812,1994,3776
2008,Radio,B,24,410,420
2008,Radio,C,68,525,610
2008,Radio,D,720,1059,2746
2008,Radio-Television,A,106,9006,9209
2008,Radio-Television,B,8,8101,8104
2008,Radio-Television,C,11,193,210
2008,Radio-Television,D,87,712,895
2008,Television,A,118,2341,2515
2008,Television,B,15,1369,1374
2008,Television,C,9,170,171
2008,Television,D,94,802,970
2009,Total,A,1098,14278,16312
2009,Total,B,46,9759,9777
2009,Total,C,82,1024,1097
2009,Total,D,877,2091,3964
2009,Total,E,93,1404,1474
2009,Radio,A,794,1720,3329
2009,Radio,B,26,418,430
2009,Radio,C,66,448,512
2009,Radio,D,702,854,2387
2009,Radio-Television,A,196,11039,11275
2009,Radio-Television,B,9,8684,8685
2009,Radio-Television,C,10,360,369
2009,Radio-Television,D,84,591,747
2009,Radio-Television,E,93,1404,1474
2009,Television,A,108,1519,1708
2009,Television,B,11,657,662
2009,Television,C,6,216,216
2009,Television,D,91,646,830
2010,Total,A,1117,15510,17621
2010,Total,B,47,11070,11093
2010,Total,C,78,813,903
2010,Total,D,876,2022,3821
2010,Total,E,116,1605,1804
2010,Radio,A,789,1733,3287
2010,Radio,B,25,444,460
2010,Radio,C,61,380,456
2010,Radio,D,703,909,2371
2010,Radio-Television,A,213,11561,11902
2010,Radio-Television,B,10,9278,9280
2010,Radio-Television,C,10,204,212
2010,Radio-Television,D,77,474,606
2010,Radio-Television,E,116,1605,1804
2010,Television,A,115,2216,2432
2010,Television,B,12,1348,1353
2010,Television,C,7,229,235
2010,Television,D,96,639,844
