year,labor_share,nsw1,nsw2,personal_income,compensation,nsw1_positive,adjusted_labor_share_1,adjusted_labor_share_2
1994,0.675703910896928,157.677242387989,-210.716529833016,5934.7,4010.1,True,0.7022726072738281,0.6401980673272419
1995,0.669576993547359,166.687533848482,-206.869470851589,6276.5,4202.6,True,0.6961343955785041,0.6366176259298032
1996,0.663789609570843,141.194066272385,-244.334938966361,6661.9,4422.1,True,0.684983873410346,0.6271131450537591
1997,0.666388692579505,93.2371415123675,-314.326182869258,7075.0,4714.7,True,0.6795670871395569,0.621960963552048
1998,0.6692146500257,34.8218415593662,-393.140927132069,7587.7,5077.8,True,0.6738038986200522,0.6174017255384286
1999,0.677659761016058,8.27285885167453,-448.198756168742,7983.8,5410.3,True,0.678695966689005,0.6215212359817708
2000,0.678412566027245,-28.9930455935503,-509.716189880456,8632.8,5856.6,False,0.6750540907244984,0.6193684331989093
2001,0.672797676669894,86.7604791868346,-402.834390125847,8987.1,6046.5,True,0.6824515671559056,0.6279740527950237
2002,0.671282583747746,329.350355101371,-180.824408546915,9149.5,6141.9,True,0.7072791250998822,0.651519273343143
2003,0.670917829588094,425.768783506893,-114.722620009275,9487.6,6365.4,True,0.7157941717090617,0.6588259812798521
2004,0.670749910440632,452.569865063886,-129.708132189627,10049.2,6740.5,True,0.715785322718613,0.6578426011832158
2005,0.668011272065823,418.20772419253,-211.326098602301,10610.3,7087.8,True,0.70742653121896,0.6480942010497065
2006,0.658764859786827,422.963988410683,-233.824576796783,11389.8,7503.2,True,0.6959001903818052,0.6382355636800663
2007,0.658494293788608,434.294268546229,-248.4326152538,11995.7,7899.1,True,0.6946984559922501,0.6377841547176243
2008,0.649944491818577,642.433377246472,-39.8133558154877,12430.6,8079.2,True,0.7016260982773539,0.6467416411262945
2009,0.644573377144702,1102.95960020195,441.111656549772,12082.1,7787.8,True,0.735862110080363,0.6810828958997008
2010,0.640705416881112,1198.02127685924,516.887348172928,12435.2,7967.3,True,0.7370465514715682,0.6822718853072675
2011,0.62757271838257,1136.96732164381,444.315312364968,13191.3,8278.5,True,0.713763413889746,0.6612551691163846
2012,0.626580712757753,1093.30899626013,381.450648496049,13743.8,8611.6,True,0.7061299637844072,0.6543350928051961
