series,subseries,year,source_type,source_table,source_line_or_column,citation,provenance_class_raw,workpackage,note
S503,S503-A,1969,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1970,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1971,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1972,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1973,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1974,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1975,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1976,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1977,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1978,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1979,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1980,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1981,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1982,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1983,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1984,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1985,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1986,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1987,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1988,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-A,1989,book,Book Table H.1 col GFP_star,GFP = TP* - C*_m (gross VA of productive+trade industries),Book Table H.1 col GFP_star,book,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-COMBINED,1989,book,KB v2 _combined/H.1.csv,GFP_star (=TP*-Mp),book Gross Final Product concept,book,WP-A,book Gross Final Product concept
S503,S503-COMBINED,1990,pipeline,derived from bridged components (S503/S504-COMBINED); no native 1990-97 source,GFP = TP* - C*_m (gross VA of productive+trade industries),derived from bridged components (S503/S504-COMBINED); no native 1990-97 source,interpolated,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-COMBINED,1990,BEA,data/source/bea_sic/...,VA_partA (real SIC),real SIC fill (R3); exposes DIV-007 book-GFP-vs-BEA-VA concept break at 1989/90,SIC,WP-A,real SIC fill (R3); exposes DIV-007 book-GFP-vs-BEA-VA concept break at 1989/90
S503,S503-COMBINED,1991,pipeline,derived from bridged components (S503/S504-COMBINED); no native 1990-97 source,GFP = TP* - C*_m (gross VA of productive+trade industries),derived from bridged components (S503/S504-COMBINED); no native 1990-97 source,interpolated,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-COMBINED,1992,pipeline,derived from bridged components (S503/S504-COMBINED); no native 1990-97 source,GFP = TP* - C*_m (gross VA of productive+trade industries),derived from bridged components (S503/S504-COMBINED); no native 1990-97 source,interpolated,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-COMBINED,1993,pipeline,derived from bridged components (S503/S504-COMBINED); no native 1990-97 source,GFP = TP* - C*_m (gross VA of productive+trade industries),derived from bridged components (S503/S504-COMBINED); no native 1990-97 source,interpolated,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-COMBINED,1994,pipeline,derived from bridged components (S503/S504-COMBINED); no native 1990-97 source,GFP = TP* - C*_m (gross VA of productive+trade industries),derived from bridged components (S503/S504-COMBINED); no native 1990-97 source,interpolated,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-COMBINED,1995,pipeline,derived from bridged components (S503/S504-COMBINED); no native 1990-97 source,GFP = TP* - C*_m (gross VA of productive+trade industries),derived from bridged components (S503/S504-COMBINED); no native 1990-97 source,interpolated,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-COMBINED,1996,pipeline,derived from bridged components (S503/S504-COMBINED); no native 1990-97 source,GFP = TP* - C*_m (gross VA of productive+trade industries),derived from bridged components (S503/S504-COMBINED); no native 1990-97 source,interpolated,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-EXT,1997,BEA,"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",GFP = TP* - C*_m (gross VA of productive+trade industries),"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",raw-source,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-EXT,1997,BEA,BEA GDP-by-Industry value_added,"sum NAICS [11,21,22,23,31G,42,44RT,48TW]",raw pass-through (provenance label corrected from false 'growth_rate splice'),NAICS,WP-A,raw pass-through (provenance label corrected from false 'growth_rate splice')
S503,S503-EXT,1998,BEA,"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",GFP = TP* - C*_m (gross VA of productive+trade industries),"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",raw-source,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-EXT,1999,BEA,"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",GFP = TP* - C*_m (gross VA of productive+trade industries),"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",raw-source,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-EXT,2000,BEA,"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",GFP = TP* - C*_m (gross VA of productive+trade industries),"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",raw-source,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-EXT,2001,BEA,"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",GFP = TP* - C*_m (gross VA of productive+trade industries),"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",raw-source,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-EXT,2002,BEA,"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",GFP = TP* - C*_m (gross VA of productive+trade industries),"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",raw-source,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-EXT,2003,BEA,"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",GFP = TP* - C*_m (gross VA of productive+trade industries),"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",raw-source,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-EXT,2004,BEA,"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",GFP = TP* - C*_m (gross VA of productive+trade industries),"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",raw-source,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-EXT,2005,BEA,"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",GFP = TP* - C*_m (gross VA of productive+trade industries),"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",raw-source,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-EXT,2006,BEA,"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",GFP = TP* - C*_m (gross VA of productive+trade industries),"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",raw-source,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-EXT,2007,BEA,"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",GFP = TP* - C*_m (gross VA of productive+trade industries),"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",raw-source,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-EXT,2008,BEA,"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",GFP = TP* - C*_m (gross VA of productive+trade industries),"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",raw-source,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-EXT,2009,BEA,"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",GFP = TP* - C*_m (gross VA of productive+trade industries),"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",raw-source,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-EXT,2010,BEA,"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",GFP = TP* - C*_m (gross VA of productive+trade industries),"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",raw-source,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-EXT,2011,BEA,"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",GFP = TP* - C*_m (gross VA of productive+trade industries),"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",raw-source,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-EXT,2012,BEA,"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",GFP = TP* - C*_m (gross VA of productive+trade industries),"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",raw-source,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-EXT,2013,BEA,"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",GFP = TP* - C*_m (gross VA of productive+trade industries),"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",raw-source,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-EXT,2014,BEA,"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",GFP = TP* - C*_m (gross VA of productive+trade industries),"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",raw-source,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-EXT,2015,BEA,"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",GFP = TP* - C*_m (gross VA of productive+trade industries),"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",raw-source,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-EXT,2016,BEA,"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",GFP = TP* - C*_m (gross VA of productive+trade industries),"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",raw-source,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-EXT,2017,BEA,"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",GFP = TP* - C*_m (gross VA of productive+trade industries),"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",raw-source,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-EXT,2018,BEA,"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",GFP = TP* - C*_m (gross VA of productive+trade industries),"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",raw-source,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-EXT,2019,BEA,"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",GFP = TP* - C*_m (gross VA of productive+trade industries),"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",raw-source,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-EXT,2020,BEA,"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",GFP = TP* - C*_m (gross VA of productive+trade industries),"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",raw-source,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-EXT,2021,BEA,"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",GFP = TP* - C*_m (gross VA of productive+trade industries),"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",raw-source,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-EXT,2022,BEA,"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",GFP = TP* - C*_m (gross VA of productive+trade industries),"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",raw-source,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-EXT,2023,BEA,"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",GFP = TP* - C*_m (gross VA of productive+trade industries),"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",raw-source,S506_STEP_TABLE,Gross Final Product GFP
S503,S503-EXT,2024,BEA,"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",GFP = TP* - C*_m (gross VA of productive+trade industries),"BEA GDP-by-Industry Value Added, sum NAICS[11,21,22,23,31G,42,44RT,48TW]",raw-source,S506_STEP_TABLE,Gross Final Product GFP
S504,S504-A,1948,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1949,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1950,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1951,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1952,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1953,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1954,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1955,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1956,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1957,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1958,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1959,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1960,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1961,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1962,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1963,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1964,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1965,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1966,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1967,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1968,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1969,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1970,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1971,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1972,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1973,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1974,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1975,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1976,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1977,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1978,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1979,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1980,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1981,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1982,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1983,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
S504,S504-A,1984,book,Book Table H.1 col V_star,V* = (V*/W) x W,Book Table H.1 col V_star,book,S506_STEP_TABLE,Variable Capital V*
