series,step,op,output,upstream,formula
XS003,code,load(P02),,S506,referenced in P02 code; not encoded in registry construction
XS004,code,load(P02),,S501,referenced in P02 code; not encoded in registry construction
XS004,code,load(P02),,S515,referenced in P02 code; not encoded in registry construction
XS1101,1,derive,XS1101-COMBINED,S604,(B_w - T_w) / EC
XS1101,1,derive,XS1101-COMBINED,S605,(B_w - T_w) / EC
XS1101,code,load(P02),,S606,referenced in P02 code; not encoded in registry construction
XS1101,code,load(P02),,S617,referenced in P02 code; not encoded in registry construction
XS1102,1,derive,XS1102-COMBINED,S605,B_w / EC
XS1102,code,load(P02),,S604,referenced in P02 code; not encoded in registry construction
XS1102,code,load(P02),,S606,referenced in P02 code; not encoded in registry construction
XS1102,code,load(P02),,S617,referenced in P02 code; not encoded in registry construction
XS1103,1,derive,XS1103-COMBINED,S604,T_w / EC
XS1103,code,load(P02),,S605,referenced in P02 code; not encoded in registry construction
XS1103,code,load(P02),,S606,referenced in P02 code; not encoded in registry construction
XS1103,code,load(P02),,S617,referenced in P02 code; not encoded in registry construction
XS1201,1,derive,XS1201-COMBINED,S607,NSW / GDP
XS1202,1,derive,XS1202-COMBINED,S607,NSW / EC
XS1301,1,derive,XS1301-COMBINED,S607,NSW / GDP
XS1302,1,derive,XS1302-COMBINED,S607,NSW / EC
XS1304,1,filter,XS1304-COMBINED,XS1301,
XS1304,code,load(P02),,XS1201,referenced in P02 code; not encoded in registry construction
XS1305,1,derive,XS1305-COMBINED,XS1301,
XS1404,1,derive,XS1404-A,S506,S506 / XS1401
XS1404,1,derive,XS1404-A,XS1401,S506 / XS1401
XS1504,code,load(P02),,XS1503,referenced in P02 code; not encoded in registry construction
