year,T601,T602,T603,T604,T605,T606,T607,T608,T609
1981,238.099,195.701,200.801,634.601,307.809,284.8116,-41.9803,-0.0543539845924775,-0.0161
1982,240.7356,208.894,206.1519,655.7814000000001,343.079,306.17659999999995,-6.5258,-0.0082969498938374,-0.0023
1983,238.1733,225.953,223.6382,687.7645,370.499,326.2574,8.9919,0.010708084741524,0.003
1984,254.6356,257.47,245.0958,757.2014,380.909,347.8399,-28.4526,-0.0306376792867295,-0.0087
1985,283.1352,281.37,262.55490000000003,827.0600999999999,403.112,381.1757,-42.7725,-0.0441869234186303,-0.0121
1986,298.2774,303.438,278.3931,880.1085,428.607,410.1977,-41.3038,-0.0413637774773421,-0.0111
1987,337.7045,323.113,302.93859999999995,963.7561,447.913,439.218,-76.6251,-0.0722265057969648,-0.0194
1988,348.48,361.482,326.1708,1036.1328,476.864,464.9765,-94.2922,-0.0822636143148784,-0.022
1989,385.7297,385.231,345.92909999999995,1116.8898000000002,521.07,494.8035,-101.0163,-0.0837336704244031,-0.0219
1990,404.29278047049,412.075,131.63018250233816,947.9979629728282,574.674,0.0007954060193204,-74.7038,-0.0619229111405835,-0.0152
1991,399.2233900492995,432.232,141.57267641633038,973.02806646563,650.507,0.0008763092406137,-11.1499,-0.0092422911140583,-0.0022
1992,414.93511304156505,457.088,149.71349788716842,1021.7366109287334,731.75,0.0009622436411322,35.0773,0.0290760112732095,0.0065
1993,438.0932777733061,479.646,155.83088355413395,1073.57016132744,778.935,0.0010129712263931,38.6308,0.0320215517241379,0.0068
1994,467.3658357039253,510.667,168.87713534209013,1146.9099710460157,815.708,0.0010604965639544,4.2275,0.0035042274535809,0.0007
1995,500.031662334748,535.503,172.796709825177,1208.331372159925,864.727,0.0011106168896583,6.0421000000000005,0.0050083720159151,0.001
1996,554.641629679522,557.866,179.87393439558673,1292.3815640751086,906.325,0.0011534517857027,-31.0235,-0.0257157659151193,-0.0047
1997,620.2702324857287,590.255,189.4323688580556,1399.9576013437843,935.418,0.0011980386399096,-95.5714,-0.079220324933687,-0.0135
1998,689.9449610967221,627.753,198.06100777740107,1515.7589688741232,957.915,0.00124373758378,-169.4546,-0.1404630305039787,-0.0223
1999,752.9288980869949,664.578,208.6263593986622,1626.133257485657,992.202,0.001310989138675,-207.8886,-0.1628823254558061,-0.0261
2000,838.5042865389541,709.393,219.45776510771248,1767.3550516466669,1044.876,0.0013927087097375,-261.4047,-0.191993849415547,-0.0303
2001,831.9446242938648,736.953,225.3840502250088,1794.2816745188734,1145.83,0.0015033951563913,-145.1438,-0.1043270083719324,-0.0161
2002,705.4861706718729,755.251,235.40056850102843,1696.137739172901,1251.022,0.0016185641704225,92.9103,0.0658612223374004,0.0102
2003,672.4583221173718,783.208,249.51970895033685,1705.1860310677084,1320.994,0.0017032182599681,176.8911,0.1217386744833589,0.0187
2004,703.5861419728465,833.633,268.87196915201474,1806.0911111248613,1404.471,0.0017918794131666,185.1368,0.120611304537338,0.0185
2005,812.3706587317284,878.012,291.8969527215665,1982.279611453295,1490.917,0.0018988721846764,118.2112,0.0738699132022935,0.0112
2006,898.0399200272236,927.135,308.8082673285224,2133.983187355746,1593.029,0.0020039640320007,94.2558,0.0557682919594755,0.0083
2007,985.4525649865712,966.126,321.1322395673234,2272.7108045538944,1697.335,0.0021247581157341,104.1233,0.0588774908010382,0.0087
2008,977.4655575623674,993.187,325.131103743628,2295.783661305996,1919.349,0.0023474325500826,362.7016,0.2007536803955267,0.0292
2009,741.0540736265053,969.231,318.03126922163665,2028.316342848142,2107.728,0.0025161548243138,845.8259,0.4895420554413428,0.0701
2010,781.14882289895,988.67,329.2606720235962,2099.079494922546,2281.411,0.0026529204873121,957.9389,0.5491860237777938,0.0763
2011,898.4749817950556,921.061,341.85100807555045,2161.386989870606,2310.139,0.0026481879329954,897.133,0.494739247194164,0.0674
2012,929.210073922778,955.16,351.88332234514087,2236.253396267919,2322.586,0.0026509440653944,823.6114,0.4331415240188741,0.0592
2013,1053.4742659710123,1109.44,367.2794604707644,2530.193726441777,2385.91,0.0027602806943257,604.8994,0.3082914753399136,0.043
2014,1117.2773770910508,1158.801,383.350799890195,2659.4291769812457,2498.625,0.002852889694646,582.0185,0.2825848008986165,0.0394
2015,1216.6085721657096,1210.015,394.4210038549908,2821.0445760207003,2635.146,0.002977797508371,564.5075,0.2610966955376019,0.0365
2016,1228.6985645150437,1244.366,405.46952704429737,2878.5340915593406,2717.282,0.0030625080539814,596.3379,0.2670594617361643,0.0375
2017,1281.7660932193928,1304.155,422.4564146401014,3008.377507859494,2807.432,0.0031485677436954,559.9225,0.2401294141513655,0.0336
2018,1296.6158961980789,1367.038,451.2989697241392,3114.952865922218,2925.973,0.0032861459359331,608.5608000000001,0.2474424837828225,0.0347
2019,1370.5288240745604,1430.159,475.0047296440525,3275.692553718613,3090.76,0.0034588444472211,651.6087,0.2530893992066331,0.0355
2020,1328.2224343001803,1454.886,471.1743560658356,3254.282790366016,4187.512,0.004449132833902,1812.3714,0.7141389459022778,0.0923
2021,1576.0133142677466,1565.076,526.5597554052332,3667.64906967298,4566.711,0.0048404221016348,1804.9585,0.6617084542390476,0.084
2022,1968.0911206732767,1710.41,568.1825081894381,4246.683628862715,4012.998,0.0043962048162442,759.9355,0.2560337973792172,0.0343
2023,1708.2250547550614,1807.062,576.4029290788579,4091.689983833919,4150.561,0.0044894043954735,1117.7296,0.3541523930411237,0.0474
2024,1802.966520677309,1929.608,605.4155233878041,4337.990044065113,4455.695,0.0047887718443244,1234.7386,0.3688757100915269,0.0496
2025,1944.2234690981616,2022.254,685.3869221319774,4651.864391230139,4851.215,,1311.031,,0.0503
