year,value_added,industry,classification,employment,compensation,avg_wage,production_ratio,productive_labor,productive_wages,surplus_value,rate_of_surplus
2015,327238.6364198006,Construction,productive,11453352.3,189798.41,0.02,0.85,9735349.455,161328.6485,165909.98791980057,1.0283975565554964
2016,337638.4332532505,Construction,productive,11817345.2,195830.29,0.02,0.85,10044743.42,166455.7465,171182.68675325048,1.0283975792523958
2017,352339.7440010013,Construction,productive,12331891.0,204357.05,0.02,0.85,10482107.35,173703.4925,178636.2515010013,1.0283975810158297
2018,377291.1167770653,Construction,productive,13205189.1,218828.85,0.02,0.85,11224410.735,186004.5225,191286.59427706533,1.0283975448880032
2019,391236.8165849486,Construction,productive,13693288.6,226917.35,0.02,0.85,11639295.309999999,192879.7475,198357.06908494863,1.0283975982753122
2020,345761.5351137159,Construction,productive,12101653.7,200541.69,0.02,0.85,10286405.645,170460.4365,175301.0986137159,1.028397569624409
2021,437338.0166537454,Construction,productive,15306830.6,253656.05,0.02,0.85,13010806.01,215607.6425,221730.3741537454,1.0283975631974427
2022,509667.1916534252,Construction,productive,17838351.7,295606.97,0.02,0.85,15162598.944999998,251265.92449999996,258401.26715342526,1.028397573875662
2023,552135.9726653591,Construction,productive,19324759.0,320238.86,0.02,0.85,16426045.15,272203.03099999996,279932.9416653592,1.0283975921831643
2010,819748.1544256122,Manufacturing,productive,14755466.8,426269.04,0.03,0.72,10623936.096,306913.70879999996,512834.4456256122,1.6709401728281883
2011,846298.5660779675,Manufacturing,productive,15233374.2,440075.25,0.03,0.72,10968029.423999999,316854.18,529444.3860779675,1.6709401974055305
2012,884787.676760713,Manufacturing,productive,15926178.2,460089.59,0.03,0.72,11466848.304,331264.5048,553523.171960713,1.6709401820605592
2013,935025.5950673248,Manufacturing,productive,16830460.7,486213.31,0.03,0.72,12117931.704,350073.5832,584952.0118673248,1.6709401678364768
2014,965523.3712611344,Manufacturing,productive,17379420.7,502072.15,0.03,0.72,12513182.904,361491.948,604031.4232611344,1.670940187196464
2015,980105.4684228132,Manufacturing,productive,17641898.4,509654.84,0.03,0.72,12702166.848,366951.4848,613153.9836228132,1.6709401897011027
2016,998551.9413376878,Manufacturing,productive,17973934.9,519247.01,0.03,0.72,12941233.127999999,373857.8472,624694.0941376877,1.6709401683455896
2017,1028942.1648419708,Manufacturing,productive,18520959.0,535049.93,0.03,0.72,13335090.479999999,385235.94960000005,643706.2152419707,1.6709401495637848
2018,1087968.8371539544,Manufacturing,productive,19583439.1,565743.8,0.03,0.72,14100076.152,407335.536,680633.3011539544,1.6709401488456297
2019,1114012.691222675,Manufacturing,productive,20052228.4,579286.6,0.03,0.72,14437604.447999999,417086.35199999996,696926.339222675,1.6709401683387497
2020,972159.771459992,Manufacturing,productive,17498875.9,505523.08,0.03,0.72,12599190.647999998,363976.6176,608183.153859992,1.670940177064803
2021,1214195.852624921,Manufacturing,productive,21855525.3,631381.84,0.03,0.72,15735978.216,454594.9248,759600.927824921,1.6709401851749863
2022,1397232.6904256092,Manufacturing,productive,25150188.4,726561.0,0.03,0.72,18108135.648,523123.92,874108.7704256093,1.6709401673423945
2023,1494647.049614922,Manufacturing,productive,26903646.9,777216.47,0.03,0.72,19370625.768,559595.8583999999,935051.191214922,1.6709401565058513
2010,477166.8361581921,Manufacturing_Durable,productive,9543336.7,257670.09,0.03,0.74,7062069.158,190675.8666,286490.96955819207,1.5025025173174802
2011,494067.6049152488,Manufacturing_Durable,productive,9881352.1,266796.51,0.03,0.74,7312200.554,197429.4174,296638.1875152488,1.502502471119832
2012,518053.7344380379,Manufacturing_Durable,productive,10361074.7,279749.02,0.03,0.74,7667195.277999999,207014.2748,311039.4596380379,1.5025024720567621
2013,549075.6854008732,Manufacturing_Durable,productive,10981513.7,296500.87,0.03,0.74,8126320.137999999,219410.6438,329665.0416008732,1.5025025034855362
2014,568649.2535339477,Manufacturing_Durable,productive,11372985.1,307070.6,0.03,0.74,8416008.974,227232.24399999998,341417.0095339478,1.5025024773066442
2015,578931.8788233532,Manufacturing_Durable,productive,11578637.6,312623.21,0.03,0.74,8568191.824,231341.1754,347590.7034233532,1.5025025390415354
2016,591559.2943657128,Manufacturing_Durable,productive,11831185.9,319442.02,0.03,0.74,8755077.566,236387.09480000002,355172.19956571277,1.5025024943354595
2017,611352.3077637601,Manufacturing_Durable,productive,12227046.2,330130.25,0.03,0.74,9048014.188,244296.385,367055.9227637601,1.5025024736397965
2018,648320.8922660821,Manufacturing_Durable,productive,12966417.8,350093.28,0.03,0.74,9595149.172,259069.0272,389251.8650660821,1.5025025155383842
2019,665789.0821544937,Manufacturing_Durable,productive,13315781.6,359526.1,0.03,0.74,9853678.384,266049.31399999995,399739.7681544937,1.5025025328743895
2020,582716.2724514838,Manufacturing_Durable,productive,11654325.4,314666.79,0.03,0.74,8624200.796,232853.42459999997,349862.8478514838,1.5025024796284823
2021,729930.002530272,Manufacturing_Durable,productive,14598600.1,394162.2,0.03,0.74,10802964.074,291680.028,438249.974530272,1.5025025111773236
2022,842430.6853009849,Manufacturing_Durable,productive,16848613.7,454912.57,0.03,0.74,12467974.137999998,336635.3018,505795.38350098487,1.502502502846494
2023,903809.8252762004,Manufacturing_Durable,productive,18076196.5,488057.31,0.03,0.74,13376385.41,361162.4094,542647.4158762004,1.5025024801936113
2010,342581.31826742,Manufacturing_Nondurable,productive,5481301.1,171290.66,0.03,0.7,3836910.7699999996,119903.462,222677.85626742,1.8571428426930658
2011,352292.75823650416,Manufacturing_Nondurable,productive,5636684.1,176146.38,0.03,0.7,3945678.8699999996,123302.466,228990.29223650414,1.8571428428406627
2012,366873.2594959026,Manufacturing_Nondurable,productive,5869972.2,183436.63,0.03,0.7,4108980.54,128405.64099999999,238467.61849590257,1.8571428532170373
2013,386186.7547828354,Manufacturing_Nondurable,productive,6178988.1,193093.38,0.03,0.7,4325291.67,135165.366,251021.38878283542,1.8571428185444738
2014,397222.23268366966,Manufacturing_Nondurable,productive,6355555.7,198611.12,0.03,0.7,4448888.99,139027.78399999999,258194.44868366967,1.8571428045179064
2015,401643.2308937607,Manufacturing_Nondurable,productive,6426291.7,200821.62,0.03,0.7,4498404.1899999995,140575.134,261068.0968937607,1.857142792364407
2016,407600.9449753208,Manufacturing_Nondurable,productive,6521615.1,203800.47,0.03,0.7,4565130.569999999,142660.329,264940.6159753208,1.8571428920181503
2017,418362.1329609123,Manufacturing_Nondurable,productive,6693794.1,209181.07,0.03,0.7,4685655.869999999,146426.74899999998,271935.38396091235,1.857142809070441
2018,440630.6896846881,Manufacturing_Nondurable,productive,7050091.0,220315.34,0.03,0.7,4935063.699999999,154220.73799999998,286409.9516846881,1.8571429199404306
2019,449412.6647453189,Manufacturing_Nondurable,productive,7190602.6,224706.33,0.03,0.7,5033421.819999999,157294.43099999998,292118.2337453189,1.8571428873112419
2020,390651.68006903055,Manufacturing_Nondurable,productive,6250426.9,195325.84,0.03,0.7,4375298.83,136728.088,253923.59206903056,1.857142857647732
2021,486001.5764226659,Manufacturing_Nondurable,productive,7776025.2,243000.79,0.03,0.7,5443217.64,170100.55299999999,315901.0234226659,1.857142836112155
2022,557076.1341669695,Manufacturing_Nondurable,productive,8913218.1,278538.07,0.03,0.7,6239252.669999999,194976.649,362099.4851669695,1.8571428272262975
2023,593582.8524361952,Manufacturing_Nondurable,productive,9497325.6,296791.43,0.03,0.7,6648127.919999999,207754.001,385828.85143619525,1.8571428207353526
2010,195760.75329566855,Transportation_Warehousing,productive,5481301.1,107668.41,0.02,0.66,3617658.726,71061.15060000001,124699.60269566854,1.7548210469824355
2011,206056.1628304448,Transportation_Warehousing,productive,5769572.6,113330.89,0.02,0.66,3807917.9159999997,74798.3874,131257.7754304448,1.75482092586457
2012,219643.26530164556,Transportation_Warehousing,productive,6150011.4,120803.8,0.02,0.66,4059007.524,79730.508,139912.75730164556,1.7548208435050427
2013,236656.88767142704,Transportation_Warehousing,productive,6626392.9,130161.29,0.02,0.66,4373419.314,85906.4514,150750.43627142702,1.7548208989508676
2014,249158.24507722305,Transportation_Warehousing,productive,6976430.9,137037.03,0.02,0.66,4604444.394,90444.43980000001,158713.80527722306,1.7548210329809908
2015,257870.7646749516,Transportation_Warehousing,productive,7220381.4,141828.92,0.02,0.66,4765451.724,93607.08720000001,164263.6774749516,1.7548209477343035
2016,267865.4984340448,Transportation_Warehousing,productive,7500234.0,147326.02,0.02,0.66,4950154.44,97235.1732,170630.3252340448,1.7548210140283351
2017,281419.3182281735,Transportation_Warehousing,productive,7879740.9,154780.63,0.02,0.66,5200628.994000001,102155.2158,179264.10242817347,1.7548208481017518
2018,303386.4786782494,Transportation_Warehousing,productive,8494821.4,166862.56,0.02,0.66,5606582.124000001,110129.2896,193257.1890782494,1.7548209906753942
2019,316728.19583787146,Transportation_Warehousing,productive,8868389.5,174200.51,0.02,0.66,5853137.07,114972.33660000001,201755.85923787145,1.754820900437988
2020,281806.53326026374,Transportation_Warehousing,productive,7890582.9,154993.59,0.02,0.66,5207784.714000001,102295.7694,179510.76386026375,1.7548209951707323
2021,358854.98194305046,Transportation_Warehousing,productive,10047939.5,197370.24,0.02,0.66,6631640.07,130264.3584,228590.62354305046,1.7548209375976973
2022,421032.6698232653,Transportation_Warehousing,productive,11788914.8,231567.97,0.02,0.66,7780683.768000001,152834.8602,268197.8096232653,1.754820917638169
2023,459200.6882158556,Transportation_Warehousing,productive,12857619.3,252560.38,0.02,0.66,8486028.738000002,166689.85080000001,292510.8374158556,1.754820920481954
2010,55057.71186440677,Arts_Entertainment_Recreation,productive,2312423.9,26427.7,0.01,0.58,1341205.862,15328.065999999999,39729.64586440677,2.59195425335504
2011,57730.8263304347,Arts_Entertainment_Recreation,productive,2424694.7,27710.8,0.01,0.58,1406322.926,16072.264,41658.562330434695,2.59195358727524
2012,61301.30100374583,Arts_Entertainment_Recreation,productive,2574654.6,29424.62,0.01,0.58,1493299.668,17066.279599999998,44235.021403745835,2.591954570095397
2013,65796.16537052671,Arts_Entertainment_Recreation,productive,2763438.9,31582.16,0.01,0.58,1602794.562,18317.6528,47478.51257052671,2.5919539522294426
2014,69005.91718266674,Arts_Entertainment_Recreation,productive,2898248.5,33122.84,0.01,0.58,1680984.13,19211.247199999998,49794.66998266675,2.5919540498477764
2015,71144.74252045657,Arts_Entertainment_Recreation,productive,2988079.2,34149.48,0.01,0.58,1733085.936,19806.6984,51338.044120456565,2.591953645361539
2016,73618.52600079859,Arts_Entertainment_Recreation,productive,3091978.1,35336.89,0.01,0.58,1793347.298,20495.3962,53123.12980079859,2.5919542751166036
2017,77046.67115762948,Arts_Entertainment_Recreation,productive,3235960.2,36982.4,0.01,0.58,1876856.916,21449.791999999998,55596.879157629475,2.591954232359432
2018,82741.96466257257,Arts_Entertainment_Recreation,productive,3475162.5,39716.14,0.01,0.58,2015594.2499999998,23035.3612,59706.60346257257,2.5919542977503895
2019,86049.0280096194,Arts_Entertainment_Recreation,productive,3614059.2,41303.53,0.01,0.58,2096154.336,23956.0474,62092.98060961941,2.5919543225490282
2020,76267.57432564688,Arts_Entertainment_Recreation,productive,3203238.1,36608.44,0.01,0.58,1857878.098,21232.8952,55034.679125646886,2.5919535987559006
2021,96746.996445144,Arts_Entertainment_Recreation,productive,4063373.9,46438.56,0.01,0.58,2356756.8619999997,26934.364799999996,69812.631645144,2.5919538910063333
2022,113074.30881136244,Arts_Entertainment_Recreation,productive,4749121.0,54275.67,0.01,0.58,2754490.1799999997,31479.8886,81594.42021136245,2.59195390581409
2023,122851.4567226872,Arts_Entertainment_Recreation,productive,5159761.2,58968.7,0.01,0.58,2992661.496,34201.846,88649.61072268721,2.591953975896132
2010,171290.65913371,Accommodation_Food_Services,productive,9420986.3,106200.21,0.01,0.82,7725208.766,87084.1722,84206.48693371,0.9669551286578113
2011,178568.82441064453,Accommodation_Food_Services,productive,9821285.3,110712.67,0.01,0.82,8053453.946,90784.3894,87784.43501064453,0.9669551735801456
2012,188516.73140898225,Accommodation_Food_Services,productive,10368420.2,116880.37,0.01,0.82,8502104.564,95841.9034,92674.82800898225,0.9669552118784638
2013,201169.96331362784,Accommodation_Food_Services,productive,11064348.0,124725.38,0.01,0.82,9072765.36,102274.8116,98895.15171362784,0.9669551101243763
2014,209764.1321610908,Accommodation_Food_Services,productive,11537027.3,130053.76,0.01,0.82,9460362.386,106644.0832,103120.0489610908,0.9669551827615206
2015,215015.6407867682,Accommodation_Food_Services,productive,11825860.2,133309.7,0.01,0.82,9697205.363999998,109313.954,105701.6867867682,0.9669551134045358
2016,221205.89795920436,Accommodation_Food_Services,productive,12166324.4,137147.66,0.01,0.82,9976386.008,112461.0812,108744.81675920436,0.9669551065920604
2017,230168.45783881063,Accommodation_Food_Services,productive,12659265.2,142704.44,0.01,0.82,10380597.464,117017.6408,113150.81703881064,0.9669552066273639
2018,245753.7202171769,Accommodation_Food_Services,productive,13516454.6,152367.31,0.01,0.82,11083492.772,124941.19419999998,120812.5260171769,0.9669551086872589
2019,254098.78294044797,Accommodation_Food_Services,productive,13975433.1,157541.25,0.01,0.82,11459855.141999999,129183.825,124914.95794044797,0.9669550962780981
2020,223912.7860135187,Accommodation_Food_Services,productive,12315203.2,138825.93,0.01,0.82,10098466.623999998,113837.26259999999,110075.5234135187,0.9669551155696774
2021,282396.1649283323,Accommodation_Food_Services,productive,15531789.1,175085.62,0.01,0.82,12736067.061999999,143570.20839999997,138825.95652833235,0.966955178762089
2022,328146.358341465,Accommodation_Food_Services,productive,18048049.7,203450.74,0.01,0.82,14799400.753999999,166829.60679999998,161316.75154146503,0.9669551744185076
2023,354459.2396653898,Accommodation_Food_Services,productive,19495258.2,219764.73,0.01,0.82,15986111.723999998,180207.0786,174252.1610653898,0.9669551408253605
2010,495519.406779661,Health_Care_Social_Assistance,productive,23784931.5,322087.61,0.01,0.55,13081712.325000001,177148.1855,318371.22127966105,1.7972028354739262
2011,524582.9999505397,Health_Care_Social_Assistance,productive,25179984.0,340978.95,0.01,0.55,13848991.200000001,187538.42250000002,337044.5774505397,1.7972027969390627
2012,562393.1980488662,Health_Care_Social_Assistance,productive,26994873.5,365555.58,0.01,0.55,14847180.425,201055.56900000002,361337.6290488662,1.7972027874983467
2013,609445.5079368982,Health_Care_Social_Assistance,productive,29253384.4,396139.58,0.01,0.55,16089361.42,217876.76900000003,391568.7389368981,1.797202798325406
2014,645334.0173737056,Health_Care_Social_Assistance,productive,30976032.8,419467.11,0.01,0.55,17036818.040000003,230706.9105,414627.10687370563,1.7972028058245166
2015,671745.8113334879,Health_Care_Social_Assistance,productive,32243798.9,436634.78,0.01,0.55,17734089.395,240149.12900000004,431596.6823334878,1.7972027803335806
2016,701799.7383311723,Health_Care_Social_Assistance,productive,33686387.4,456169.83,0.01,0.55,18527513.07,250893.40650000004,450906.3318311722,1.797202796683189
2017,741555.8971274273,Health_Care_Social_Assistance,productive,35594683.1,482011.33,0.01,0.55,19577075.705000002,265106.23150000005,476449.6656274272,1.7972028153831878
2018,804043.9182243011,Health_Care_Social_Assistance,productive,38594108.1,522628.55,0.01,0.55,21226759.455000002,287445.7025,516598.21572430106,1.7972027803209234
2019,844235.9479253714,Health_Care_Social_Assistance,productive,40523325.5,548753.37,0.01,0.55,22287829.025000002,301814.3535,542421.5944253714,1.797202777585498
2020,755477.8483581119,Health_Care_Social_Assistance,productive,36262936.7,491060.6,0.01,0.55,19944615.185000002,270083.33,485394.5183581119,1.7972028053642255
2021,967571.8415471443,Health_Care_Social_Assistance,productive,46443448.4,628921.7,0.01,0.55,25543896.62,345906.935,621664.9065471443,1.797202783885048
2022,1141756.7840950172,Health_Care_Social_Assistance,productive,54804325.6,742141.91,0.01,0.55,30142379.080000002,408178.05050000007,733578.7335950171,1.7972027959279426
2023,1252431.2597084674,Health_Care_Social_Assistance,productive,60116700.5,814080.32,0.01,0.55,33064185.275000002,447744.17600000004,804687.0837084674,1.797202793115655
2010,79527.80602636535,Educational_Services,productive,3022056.6,57260.02,0.02,0.6,1813233.96,34356.011999999995,45171.79402636535,1.3148148285186696
2011,82585.60940697168,Educational_Services,productive,3138253.2,59461.64,0.02,0.6,1882951.9200000002,35676.984,46908.62540697168,1.314814767049022
2012,86848.44698701051,Educational_Services,productive,3300241.0,62530.88,0.02,0.6,1980144.5999999999,37518.528,49329.91898701051,1.3148148825830936
2013,92318.4937028084,Educational_Services,productive,3508102.8,66469.32,0.02,0.6,2104861.6799999997,39881.592000000004,52436.90170280839,1.3148146569176171
2014,95889.31585680234,Educational_Services,productive,3643794.0,69040.31,0.02,0.6,2186276.4,41424.185999999994,54465.12985680234,1.3148147282073894
2015,97908.96520598346,Educational_Services,productive,3720540.7,70494.45,0.02,0.6,2232324.42,42296.67,55612.295205983464,1.3148149773016047
2016,100337.32706157878,Educational_Services,productive,3812818.4,72242.88,0.02,0.6,2287691.04,43345.728,56991.599061578774,1.3148146701234034
2017,103998.01509334252,Educational_Services,productive,3951924.6,74878.57,0.02,0.6,2371154.76,44927.142,59070.87309334252,1.3148148416238565
2018,110609.5844713201,Educational_Services,productive,4203164.2,79638.9,0.02,0.6,2521898.52,47783.34,62826.2444713201,1.31481483863037
2019,113922.27842419686,Educational_Services,productive,4329046.6,82024.04,0.02,0.6,2597427.9599999995,49214.42399999999,64707.85442419687,1.3148148279495637
2020,99999.62889265844,Educational_Services,productive,3799985.9,71999.73,0.02,0.6,2279991.54,43199.837999999996,56799.79089265844,1.3148149049229871
2021,125629.5217556913,Educational_Services,productive,4773921.8,90453.26,0.02,0.6,2864353.0799999996,54271.956,71357.56575569129,1.3148147038535205
2022,145416.57729896187,Educational_Services,productive,5525829.9,104699.94,0.02,0.6,3315497.94,62819.964,82596.61329896186,1.314814718756634
2023,156468.18624209255,Educational_Services,productive,5945791.1,112657.09,0.02,0.6,3567474.6599999997,67594.254,88873.93224209255,1.3148148989423354
