table_number,title,pdf_pages,chapter,n_data_columns,n_data_rows,is_time_series,notes
A.4,"Sectoral list for the 82x88 IO table",43-44,AppA,1 (sector name),"82 sectors + 8 final-demand columns",FALSE,"Book pp.250-251; numbered list of the final 82 IO sectors plus final-demand columns; spans 2 PDF pages; not a numeric series"
B.3,"Calculation of the proportion of ground rent in real estate (g), benchmark years",45,AppB,"6 benchmark years (1947,1958,1963,1967,1972,1977)",~25,FALSE,"Book p.~; benchmark-year cross-section; HUD and IO-table source rows; ground-rent proportion calc"
B.4,"Annual estimates of ABR, 1947-90",46,AppB,"1947-1990 = 44",3,TRUE,"Years stacked in row-blocks on one PDF page; rows DR', DR, ABR (amortization of buildings/equipment rented out)"
D.2,"NIPA-based interpolations of key IO variables (billions of dollars)",47-49,AppD,"1947-1989 = 43",~20,TRUE,"Book pp.280-282; spans 3 PDF pages; M'p, RY series, D series, ROW series, GP; all elements refer to IO tables in Appendix C"
E.1,"Annual estimates of TV*, 1948-89 (billions of dollars)",50-55,AppE,"1948-1989 = 42",45,TRUE,"Book pp.284-289; spans 6 PDF pages; 45 numbered lines (GVA components, GO, etc.); a glossary follows on book p.290 (PDF p.56)"
E.2,"Procedure for calculating TP*, 1948-89 (billions of dollars)",57-59,AppE,"1948-1989 = 42",~27,TRUE,"Book pp.291-293; spans 3 PDF pages; TP*, M' series, CON, IG, G, etc.; glossary follows on book p.294 (PDF p.60)"
F.1,"Productive and unproductive labor, 1948-89",63-68,AppF,"1948-1989 = 42",~90,TRUE,"Book pp.298-303; spans 6 PDF pages; very large multi-sector labor table (Production Lp by sector, Trade, Royalties, Dummy/Govt, Totals); units thousands; glossary on book pp.296-297 (PDF pp.61-62)"
G.1,"Total wage (W), 1948-89",69-74,AppG,"1948-1989 = 42",~80,TRUE,"Book pp.306-311; spans 6 PDF pages; EC/FEE/W by sector (manufacturing, mining, construction, trade, royalties, government); glossary on book pp.312-313 (PDF pp.75-76)"
G.2,"Total variable capital and total wages of unproductive workers, 1948-89",77-82,AppG,"1948-1989 = 42",~80,TRUE,"Book pp.314-319; spans 6 PDF pages; V*=Wp by sector + unproductive-wage rows; glossary on book pp.320-321 (PDF pp.83-84)"
H.1,"Surplus value and profit, 1948-89 (billions of dollars)",85-88,AppH,"1948-1989 = 42",~20,TRUE,"Book pp.324-327; spans 4 PDF pages; S*, VA*, V*, SP*, FP*, GFP*, P*/property-type income, tax rows; glossary on book p.328 (PDF p.89)"
I.1,"Rates of exploitation of unproductive workers, 1948-89",90-93,AppI,"1948-1989 = 42",25,TRUE,"Book pp.330-333; spans 4 PDF pages; 25 numbered lines (hours, weekly-hours, ec rows, e* derivation); years across columns in stacked blocks"
J.1,"Productivity of labor, 1948-89",95-100,AppJ,"1948-1989 = 42",33,TRUE,"Book pp.338-343; spans 6 PDF pages; 33 numbered lines (q*, y*, y, GDP/hours derivations); glossary on book p.337 (PDF p.94)"
K.1,"Government absorption of surplus value, 1948-89 (billions of dollars)",101,AppK,"1948-1989 = 42",6,TRUE,"Single PDF page, years stacked in 14-year blocks; rows G*t, G*, WG, SP*, G*t/SP* (duplicates content of Table 5.11 as an appendix table)"
L.1,"Aglietta's index of S*/V*, 1948-89",102-103,AppL,"1948-1989 = 42",~14,TRUE,"Spans 2 PDF pages; v*', V*, S*, ec'p, y*, ecp, pc, hp, w', Aglietta index rows; 1948=100 index numbers"
M.4,"Components of NIPA-equivalent and Mage's capitalist sector nonfarm gross product, 1958 (billions of dollars)",104,AppM,"2 (NIPA-equivalent; Mage)",4,FALSE,"Book p.354; single benchmark year 1958; IBT, EC, gross property-type income, capitalist gross product"
M.5,"Relation between gross property-type income and Mage's gross surplus value, 1958 (millions of dollars)",105,AppM,1 (value),~12,FALSE,"Book p.355; single-year reconciliation table for 1958"
N.1,"Estimation of the net transfer for the United States, 1964",106,AppN,2 (Total; Labor),~18,FALSE,"Book p.358; single benchmark year 1964; social welfare expenditures and taxes blocks; net transfer = -8.1"
N.2,"Benefit, tax, net transfer rates, and adjusted and unadjusted rates of surplus value, 1952-89",107,AppN,"1952-1989 = 38",~9,TRUE,"Single PDF page, years stacked in row-blocks; benefit rate, tax rate, net transfer rate, V*, S*, S*/V*, adjusted S*/V*"
