table_ref,year,expenditure_category,expenditure_subcategory,sector,value_TL
26.3,2010,Source of funds,Domestic - Business enterprises,Business enterprises,3471377161
26.3,2010,Source of funds,Domestic - Business enterprises,Government,18785366
26.3,2010,Source of funds,Domestic - Business enterprises,Higher education,691771881
26.3,2010,Source of funds,Domestic - Government,Total,2856352567
26.3,2010,Source of funds,Domestic - Government,Business enterprises,410851873
26.3,2010,Source of funds,Domestic - Government,Government,1026350698
26.3,2010,Source of funds,Domestic - Government,Higher education,1419149996
26.3,2010,Source of funds,Domestic - Higher education,Total,1812715152
26.3,2010,Source of funds,Domestic - Higher education,Business enterprises,1498758
26.3,2010,Source of funds,Domestic - Higher education,Government,1667485
26.3,2010,Source of funds,Domestic - Higher education,Higher education,1809548909
26.3,2010,Source of funds,Domestic - Other,Total,339868749
26.3,2010,Source of funds,Domestic - Other,Business enterprises,6185645
26.3,2010,Source of funds,Domestic - Other,Government,4953670
26.3,2010,Source of funds,Domestic - Other,Higher education,328729434
26.3,2010,Source of funds,Foreign,Total,76718742
26.3,2010,Source of funds,Foreign,Business enterprises,52994997
26.3,2010,Source of funds,Foreign,Government,8925817
26.3,2010,Source of funds,Foreign,Higher education,14797928
26.3,2011,Type of expenditure,Total,Total,11154149797
26.3,2011,Type of expenditure,Total,Business enterprises,4817272485
26.3,2011,Type of expenditure,Total,Government,1263503530
26.3,2011,Type of expenditure,Total,Higher education,5073373782
26.3,2011,Type of expenditure,Current expenditure,Total,9414607412
26.3,2011,Type of expenditure,Current expenditure,Business enterprises,4090761505
26.3,2011,Type of expenditure,Current expenditure,Government,1007507244
26.3,2011,Type of expenditure,Current expenditure,Higher education,4316338663
26.3,2011,Type of expenditure,Labour,Total,5726332115
26.3,2011,Type of expenditure,Labour,Business enterprises,2310950262
26.3,2011,Type of expenditure,Labour,Government,624537278
26.3,2011,Type of expenditure,Labour,Higher education,2790844574
26.3,2011,Type of expenditure,Other current,Total,3688275297
26.3,2011,Type of expenditure,Other current,Business enterprises,1779811243
26.3,2011,Type of expenditure,Other current,Government,382969966
26.3,2011,Type of expenditure,Other current,Higher education,1525494088
26.3,2011,Type of expenditure,Capital expenditure,Total,1739542386
26.3,2011,Type of expenditure,Capital expenditure,Business enterprises,726510980
26.3,2011,Type of expenditure,Capital expenditure,Government,255996286
26.3,2011,Type of expenditure,Capital expenditure,Higher education,757035120
26.3,2011,Type of expenditure,Instrument and equipment,Total,1301597275
26.3,2011,Type of expenditure,Instrument and equipment,Business enterprises,603645471
26.3,2011,Type of expenditure,Instrument and equipment,Government,169974611
26.3,2011,Type of expenditure,Instrument and equipment,Higher education,527977193
26.3,2011,Type of expenditure,Land and buildings,Total,437945110
26.3,2011,Type of expenditure,Land and buildings,Business enterprises,122865509
26.3,2011,Type of expenditure,Land and buildings,Government,86021675
26.3,2011,Type of expenditure,Land and buildings,Higher education,229057926
26.3,2011,Source of funds,Domestic total,Total,11077576362
26.3,2011,Source of funds,Domestic total,Business enterprises,4780434149
26.3,2011,Source of funds,Domestic total,Government,1253541861
26.3,2011,Source of funds,Domestic total,Higher education,5043600352
26.3,2011,Source of funds,Domestic - Business enterprises,Total,5111385582
26.3,2011,Source of funds,Domestic - Business enterprises,Business enterprises,4347215430
26.3,2011,Source of funds,Domestic - Business enterprises,Government,24953082
26.3,2011,Source of funds,Domestic - Business enterprises,Higher education,739217071
26.3,2011,Source of funds,Domestic - Government,Total,3262526900
26.3,2011,Source of funds,Domestic - Government,Business enterprises,429306730
26.3,2011,Source of funds,Domestic - Government,Government,1228012920
26.3,2011,Source of funds,Domestic - Government,Higher education,1605207250
26.3,2011,Source of funds,Domestic - Higher education,Total,2325466802
26.3,2011,Source of funds,Domestic - Higher education,Business enterprises,1424140
26.3,2011,Source of funds,Domestic - Higher education,Government,40055
26.3,2011,Source of funds,Domestic - Higher education,Higher education,2324002607
26.3,2011,Source of funds,Domestic - Other,Total,378197077
26.3,2011,Source of funds,Domestic - Other,Business enterprises,2487849
26.3,2011,Source of funds,Domestic - Other,Government,535804
26.3,2011,Source of funds,Domestic - Other,Higher education,375173424
26.3,2011,Source of funds,Foreign,Total,76573436
26.3,2011,Source of funds,Foreign,Business enterprises,36838336
26.3,2011,Source of funds,Foreign,Government,9961669
26.3,2011,Source of funds,Foreign,Higher education,29773431
