table_id,table_ref,description,unit_wages,unit_earnings,year,sex,occupation_classification,occupation_group,employee_share_pct,monthly_paid_hours,hourly_avg_gross_wage_TL,monthly_avg_gross_wage_TL,annual_avg_gross_earnings_TL
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Females,ISCO-88,Craft and related trade workers,14.4,202.1,3.4,692,8695
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Females,ISCO-88,Plant and machine operators and assemblers,7.8,202.0,3.4,693,9023
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2006,Females,ISCO-88,Elementary occupations,12.9,199.9,3.3,656,8209
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Total,ISCO-08,Total,100.0,200.1,7.6,1512,19694
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Total,ISCO-08,Managers,5.1,194.7,19.1,3710,49170
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Total,ISCO-08,Professionals,7.5,194.0,13.8,2683,33974
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Total,ISCO-08,Technicians and associate professionals,9.3,198.6,9.4,1873,24628
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Total,ISCO-08,Clerical support workers,13.4,195.0,8.2,1596,21478
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Total,ISCO-08,Service and sales workers,14.3,201.2,5.5,1099,13787
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Total,ISCO-08,Skilled agricultural forestry and fishery workers,0.2,197.8,5.9,1172,14561
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Total,ISCO-08,Craft and related trades workers,17.8,202.4,6.4,1292,16921
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Total,ISCO-08,Plant and machine operators and assemblers,17.1,203.9,5.5,1115,14544
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Total,ISCO-08,Elementary occupations,15.4,202.0,5.0,1015,13032
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Males,ISCO-08,Total,100.0,201.1,7.5,1510,19683
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Males,ISCO-08,Managers,5.1,195.3,18.7,3653,48198
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Males,ISCO-08,Professionals,5.4,194.2,15.1,2941,37557
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Males,ISCO-08,Technicians and associate professionals,8.9,200.0,9.6,1915,25283
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Males,ISCO-08,Clerical support workers,10.1,196.5,8.4,1645,22066
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Males,ISCO-08,Service and sales workers,14.2,201.4,5.6,1122,14076
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Males,ISCO-08,Skilled agricultural forestry and fishery workers,0.2,(*),,(*),(*)
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Males,ISCO-08,Craft and related trades workers,20.8,202.5,6.5,1320,17297
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Males,ISCO-08,Plant and machine operators and assemblers,19.2,204.7,5.7,1159,15144
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Males,ISCO-08,Elementary occupations,16.0,202.4,5.2,1048,13513
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Females,ISCO-08,Total,100.0,196.9,7.7,1519,19728
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Females,ISCO-08,Managers,4.9,192.9,20.2,3891,52242
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Females,ISCO-08,Professionals,13.8,193.8,12.2,2371,29647
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Females,ISCO-08,Technicians and associate professionals,10.3,194.8,9.0,1760,22872
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Females,ISCO-08,Clerical support workers,23.4,193.0,7.9,1531,20700
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Females,ISCO-08,Service and sales workers,14.5,200.6,5.1,1030,12919
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Females,ISCO-08,Skilled agricultural forestry and fishery workers,0.0,(0),,(0),(0)
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Females,ISCO-08,Craft and related trades workers,8.7,201.7,5.4,1085,14151
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Females,ISCO-08,Plant and machine operators and assemblers,10.8,199.9,4.4,875,11266
chunk_012_table01,25.1,Monthly average gross wage and annual average gross earnings by sex and major occupational group,TL,TL,2010,Females,ISCO-08,Elementary occupations,13.5,200.6,4.4,892,11276
