table_id,table_ref,description,unit,year,geo,employment_status_icse,total_TL,males_TL,females_TL
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2010,Urban (males),Total,,14624,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2010,Rural (females),Total,,,9894
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2010,Urban (females),Total,,,11097
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2010,Turkey,Regular employee,13707,14080,12470
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2010,Rural (males),Regular employee,,10451,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2010,Urban (males),Regular employee,,14487,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2010,Rural (females),Regular employee,,,11892
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2010,Urban (females),Regular employee,,,12704
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2010,Turkey,Casual employee,4960,5730,2472
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2010,Rural (males),Casual employee,,1646,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2010,Urban (males),Casual employee,,6405,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2010,Rural (females),Casual employee,,,4634
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2010,Urban (females),Casual employee,,,2852
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2010,Turkey,Employer,26522,27363,16956
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2010,Rural (males),Employer,,9946,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2010,Urban (males),Employer,,29438,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2010,Rural (females),Employer,,,19979
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2010,Urban (females),Employer,,,20623
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2010,Turkey,Self employed,9508,10369,4616
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2010,Rural (males),Self employed,,4009,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2010,Urban (males),Self employed,,12476,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2010,Rural (females),Self employed,,,9001
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2010,Urban (females),Self employed,,,5286
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2011,Turkey,Total,14159,14899,11355
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2011,Rural (males),Total,,7087,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2011,Urban (males),Total,,16344,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2011,Rural (females),Total,,,11429
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2011,Urban (females),Total,,,12467
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2011,Turkey,Regular employee,14904,15355,13488
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2011,Rural (males),Regular employee,,10748,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2011,Urban (males),Regular employee,,15894,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2011,Rural (females),Regular employee,,,12491
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2011,Urban (females),Regular employee,,,13826
