RowCode,111CA,113FF,211,212,213,22,23,311FT,313TT,315AL,321,322,323,324,325,326,327,331,332,333,334,335,3361MV,3364OT,337,339,42,441,445,452,481,482,483,484,485,486,487OS,493,4A0,511,512,513,514,521CI,523,524,525,532RL,5411,5412OP,5415,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFE,GFGD,GFGN,GSLE,GSLG,HS,ORE
334,0.0050582,0.0030359,0.0047056,0.0065469,0.0061762,0.0031366,0.0124593,0.0110479,0.0140589,0.005674,0.0200134,0.0133383,0.0149044,0.0047902,0.0132031,0.0180056,0.0112702,0.0167389,0.0263041,0.0365783,1.1327185,0.0430974,0.0576259,0.0895658,0.0244943,0.0207315,0.0077136,0.0052,0.0046284,0.0048114,0.0044052,0.0061914,0.0089675,0.0054905,0.002459,0.0038434,0.0057841,0.0070802,0.0044719,0.0132894,0.0074771,0.030218,0.0247106,0.0034798,0.0058675,0.0017018,0.0095966,0.0048676,0.0072274,0.008184,0.017492,0.0161605,0.0087459,0.0178217,0.0064935,0.0105208,0.0055385,0.0049373,0.0063534,0.0021408,0.0037618,0.0053021,0.0051456,0.0271841,0.0062999,0.0309592,0.0173119,0.0123162,0.0043196,0.0007385,0.0047153
335,0.0040031,0.0039753,0.0030283,0.0046196,0.0041997,0.0020634,0.0263042,0.0048012,0.0037457,0.0017928,0.0072131,0.0070052,0.0040119,0.0028244,0.0042399,0.0071907,0.0036587,0.0161081,0.0159521,0.0424169,0.0127993,1.0857732,0.0256563,0.0153841,0.0065138,0.0092393,0.0019513,0.0020406,0.0019974,0.0016388,0.0022155,0.004604,0.0044684,0.0023986,0.0024714,0.0023413,0.002837,0.0060392,0.0020205,0.0017143,0.0010313,0.0092552,0.0041463,0.0014136,0.0021452,0.0006886,0.0022844,0.0030199,0.0012456,0.0048472,0.0053404,0.0018539,0.0046859,0.0106421,0.0025914,0.0015308,0.0023691,0.0036099,0.0041188,0.0011318,0.0029586,0.0037379,0.0025302,0.0060219,0.0033244,0.0043681,0.0096832,0.0130036,0.0027623,0.0010938,0.0038946
3361MV,0.0082093,0.005731,0.0078107,0.0193741,0.0097489,0.0052032,0.0100336,0.015399,0.008226,0.0042644,0.0313183,0.0206999,0.0094939,0.0067802,0.0089484,0.0107472,0.0123653,0.0305205,0.0179526,0.0695285,0.0082922,0.0189315,1.4402446,0.0261441,0.0186004,0.0128779,0.0079436,0.0091088,0.0111179,0.0052427,0.0038321,0.005269,0.0084678,0.0227305,0.0058586,0.0040872,0.0079163,0.0348259,0.0077987,0.0065126,0.0023488,0.0058,0.0052674,0.0022992,0.00381,0.0014222,0.0039041,0.0097399,0.0020306,0.0050311,0.0022559,0.0038933,0.0131692,0.0252949,0.0041818,0.0033168,0.0052517,0.0039584,0.0159116,0.0019196,0.0040349,0.0048169,0.0054392,0.0543062,0.0455279,0.0123516,0.0028186,0.0111963,0.0065736,0.000569,0.0042396
3364OT,0.0008007,0.0028824,0.0005573,0.0013003,0.0006738,0.000722,0.0009076,0.0009678,0.0007768,0.0003763,0.0022106,0.0014267,0.0007985,0.00057,0.0008598,0.0010903,0.0012624,0.0027229,0.0017847,0.0030054,0.0015334,0.001617,0.0039746,1.2926582,0.0012976,0.0008834,0.0004717,0.0002619,0.0003137,0.0002538,0.0070005,0.018801,0.0361353,0.0012784,0.0003692,0.0004149,0.0083625,0.0007136,0.0003075,0.0003875,0.000242,0.0006438,0.00064,0.000218,0.0006078,0.0001107,0.0005713,0.0003468,0.0002294,0.0005566,0.0003586,0.0003307,0.0004272,0.0013777,0.0003091,0.0002972,0.0002855,0.0002837,0.0004437,0.0001512,0.0003767,0.0003276,0.000354,0.0009916,0.0009316,0.0505679,0.0059755,0.0009764,0.0002916,5.16e-05,0.0003633
337,0.0004185,0.0001835,0.0002696,0.0006659,0.0003672,0.0004496,0.009163,0.0004826,0.001084,0.0007812,0.0052705,0.0010104,0.0005519,0.0003573,0.0004286,0.0018967,0.0006823,0.0006234,0.0005695,0.0016789,0.000663,0.0006354,0.0009392,0.0010175,1.0485809,0.0020768,0.0007329,0.0011066,0.0004375,0.0003526,0.0003,0.0006538,0.0017172,0.0005578,0.0002429,0.000502,0.000601,0.0008332,0.0014524,0.0002975,0.0002384,0.0006061,0.0021145,0.0003431,0.0009864,0.0001946,0.000815,0.0003706,0.000254,0.0003922,0.00015,0.0002634,0.0002825,0.0004135,0.0002899,0.0006491,0.0004795,0.0003836,0.001109,0.0007985,0.0016219,0.0006619,0.0007485,0.000581,0.0249947,0.0003423,0.0002716,0.0045358,0.0003768,0.0015959,0.0009759
339,0.0010964,0.0005357,0.0007075,0.0013512,0.000949,0.0005332,0.0018272,0.0011215,0.0018215,0.0094349,0.0016198,0.001519,0.0015635,0.0006881,0.0021543,0.0022469,0.0021946,0.0017301,0.001591,0.0087823,0.0008685,0.0062411,0.0079439,0.0018559,0.0020097,1.0557888,0.0011718,0.0009701,0.0010981,0.0006471,0.000714,0.00072,0.0011909,0.0008945,0.0005999,0.0006487,0.0020662,0.0023963,0.0014952,0.0008362,0.0005323,0.0011227,0.0014578,0.0007355,0.0009079,0.0003013,0.0009105,0.0009808,0.0006716,0.0015904,0.0006511,0.0006792,0.0028205,0.0063336,0.0018131,0.0204372,0.0263906,0.0055409,0.0075743,0.0010194,0.0034354,0.0008805,0.0012359,0.0031259,0.0010095,0.001156,0.0016202,0.00124,0.0033552,0.0001269,0.0010941
42,0.1378144,0.0689842,0.0359223,0.0736652,0.0347965,0.0298407,0.0771199,0.1763424,0.1246064,0.1345798,0.13679,0.1409397,0.0954078,0.0619035,0.1279643,0.1335206,0.0845395,0.1638389,0.1125185,0.1402128,0.0570565,0.1317718,0.1999974,0.094945,0.135303,0.1066344,1.0406829,0.0202938,0.0224646,0.0197619,0.0444474,0.0533193,0.0769978,0.072829,0.02702,0.0191997,0.0571839,0.0367894,0.0256737,0.0366953,0.0094237,0.0327468,0.028104,0.0111996,0.015284,0.004928,0.019626,0.0534919,0.0113657,0.0212564,0.01434,0.0195779,0.0243806,0.0553928,0.0236113,0.0340468,0.0360875,0.0343648,0.0492996,0.0108333,0.0359156,0.0322908,0.0548113,0.0394063,0.046956,0.036922,0.0248309,0.0566039,0.0371441,0.0040122,0.0239306
441,0.0005553,0.0003268,0.0005928,0.0017382,0.0008874,0.0003194,0.0017153,0.0016447,0.0008147,0.0003595,0.0025571,0.0020438,0.000951,0.0005191,0.000996,0.0010891,0.001345,0.0010911,0.0012652,0.0050958,0.0004964,0.0006576,0.0067825,0.002055,0.0017579,0.0014745,0.0003642,1.0009428,0.0013835,0.0004236,0.0003338,0.0004437,0.000517,0.0018465,0.0003145,0.0003634,0.000527,0.001238,0.0008859,0.00073,0.0002424,0.0004298,0.0004059,0.0002263,0.0002765,0.0001533,0.0003146,0.0012192,0.0002189,0.0004637,0.0002075,0.0002757,0.0013703,0.0010848,0.0002747,0.0002916,0.0004529,0.000368,0.0004539,0.0002019,0.0003534,0.0004208,0.0005244,0.0071389,0.000622,0.0003803,0.0002073,0.0006535,0.0003291,0.0001148,0.0008164
445,0.0001152,2.76e-05,2.21e-05,4.28e-05,2.49e-05,9.87e-05,0.0001714,0.0001016,7.4e-05,4.08e-05,5.98e-05,6.71e-05,0.0002575,3.72e-05,0.0001211,0.0001195,7.61e-05,6.87e-05,5.14e-05,8.65e-05,2.08e-05,6.18e-05,7.91e-05,3.2e-05,0.0001387,0.0001068,3.39e-05,3.81e-05,1.0000512,3.1e-05,9.39e-05,6.22e-05,5.29e-05,0.0008194,0.0002086,2.99e-05,0.0001403,4.65e-05,3.98e-05,2.9e-05,2e-05,2.59e-05,5.41e-05,3.12e-05,3.84e-05,1.62e-05,4.72e-05,3.99e-05,3.53e-05,3.88e-05,2.86e-05,2.71e-05,0.0001052,4.31e-05,2.79e-05,5.39e-05,5.09e-05,8.15e-05,5.4e-05,2.26e-05,3.7e-05,0.0001234,0.0013958,8.19e-05,5.23e-05,2.44e-05,2.09e-05,5.23e-05,3.31e-05,2.92e-05,7.99e-05
452,0.0003829,0.0001105,0.0001055,0.0002452,0.0001183,0.0002788,0.0012516,0.0004299,0.0003106,0.0001425,0.0003403,0.0003234,0.0008779,0.0001433,0.0004228,0.0005465,0.000291,0.0002574,0.0002239,0.000625,9.29e-05,0.0002695,0.0006639,0.0002011,0.0007142,0.0005665,0.0001093,0.0001625,0.0002736,1.0001094,0.0001418,0.0002228,0.0001745,0.0025039,0.0006281,0.0001226,0.0004278,0.0002087,0.0001782,0.0001176,5.95e-05,9.34e-05,0.0001435,7.02e-05,9.65e-05,4.14e-05,0.0001025,0.0001986,8.55e-05,0.0001056,5.92e-05,7.14e-05,0.0003388,0.000169,9.05e-05,0.0001115,0.0001299,0.0001309,0.0001564,7.1e-05,0.0001155,0.0002564,0.000471,0.000767,0.0001508,9.02e-05,7.54e-05,0.000279,0.0001126,0.000171,0.0003447
