year,CES0500000006,CES0500000001,CES0600000006,CES0600000001,CES1000000006,CES1000000001,CES2000000006,CES2000000001,CES3000000006,CES3000000001
1972,49962.6,60321.6,17410.5,22292.5,493.8,672.0,3424.2,3956.4,13492.5,17664.1
1973,52228.0,63038.8,18301.5,23444.0,502.2,692.8,3575.2,4167.1,14224.1,18584.2
1974,52843.5,64079.7,18057.0,23361.3,549.8,754.5,3468.2,4094.6,14039.1,18512.2
1975,51012.8,62251.8,16149.2,21321.1,580.8,801.6,2989.2,3606.9,12579.1,16912.6
1976,52921.5,64507.2,16736.4,22030.4,606.2,832.2,2997.8,3660.8,13132.3,17537.5
1977,55209.8,67339.6,17439.7,22978.1,635.8,865.3,3207.5,3939.0,13596.3,18173.8
1978,58188.9,71014.9,18353.3,24158.8,657.2,902.2,3542.9,4320.9,14153.2,18935.7
1979,60403.1,73864.8,18955.8,24998.1,737.3,1008.3,3759.4,4562.2,14459.0,19427.6
1980,60374.4,74155.8,18075.5,24263.0,784.9,1076.9,3622.8,4453.7,13667.8,18732.4
1981,60962.2,75112.9,17821.9,24117.8,860.2,1179.7,3469.6,4304.2,13492.2,18634.0
1982,59473.8,73704.4,16358.2,22550.9,835.0,1163.3,3208.3,4024.0,12314.9,17363.6
1983,60014.2,74279.8,16060.3,22110.6,697.8,996.7,3240.3,4064.8,12122.2,17049.2
1984,63329.0,78385.2,17149.4,23435.2,713.5,1013.7,3614.1,4500.8,12821.8,17920.7
1985,65454.1,80996.9,17201.8,23584.3,686.1,973.5,3867.4,4792.3,12648.3,17818.5
1986,66825.2,82660.2,17009.4,23317.2,576.6,829.0,3983.3,4936.3,12449.5,17551.9
1987,68723.9,84958.4,17163.9,23468.5,540.8,771.1,4086.9,5088.9,12536.2,17608.5
1988,71056.6,87835.9,17507.8,23907.8,545.4,769.7,4198.5,5232.8,12763.8,17905.3
1989,72958.4,90120.0,17585.8,24043.1,525.8,750.0,4256.2,5309.1,12803.9,17984.0
1990,73720.5,91113.8,17321.1,23725.0,538.0,764.5,4114.1,5265.8,12669.0,17694.7
1991,72570.8,89887.8,16351.1,22591.3,514.7,739.3,3673.1,4783.7,12163.3,17068.3
1992,72845.4,90006.2,16045.0,22094.0,478.0,688.4,3545.5,4605.2,12021.5,16800.3
1993,74667.1,91940.5,16240.8,22220.9,461.7,665.8,3706.1,4779.1,12073.0,16776.0
1994,77472.1,95111.8,16800.0,22776.9,460.3,658.8,3975.1,5094.4,12364.6,17023.8
1995,79936.6,97975.8,17139.3,23161.7,457.2,640.8,4112.8,5276.4,12569.4,17244.5
1996,81880.7,100291.4,17317.8,23412.2,460.7,637.1,4325.6,5538.4,12531.6,17236.8
1997,84304.0,103270.8,17698.9,23884.4,478.4,653.4,4547.7,5812.9,12672.8,17418.1
1998,86496.1,106225.5,18009.0,24352.1,473.0,644.7,4807.0,6147.3,12729.0,17560.1
1999,88631.9,108915.8,18067.8,24465.8,438.4,598.4,5104.4,6544.8,12524.9,17322.7
2000,90536.5,111227.1,18171.0,24652.1,445.2,599.2,5295.6,6787.9,12430.2,17265.0
2001,90202.1,110958.2,17464.5,23873.3,457.0,606.2,5330.9,6826.5,11676.6,16440.7
2002,88654.3,109124.5,16396.8,22555.0,436.1,582.7,5194.8,6715.3,10766.0,15257.0
2003,87953.6,108745.2,15734.6,21816.1,420.3,572.0,5126.2,6735.7,10188.0,14508.4
2004,89222.3,110137.6,15819.9,21878.5,440.2,590.4,5307.4,6973.2,10072.2,14314.9
2005,91421.6,112219.0,16144.2,22184.8,473.0,627.3,5611.9,7333.4,10059.2,14224.0
2006,93759.9,114457.8,16559.2,22526.1,518.9,684.1,5903.6,7689.6,10136.8,14152.4
2007,95240.6,115759.0,16400.4,22222.2,546.9,723.4,5881.9,7627.3,9971.6,13871.4
2008,94667.2,114723.5,15716.1,21323.2,573.8,766.2,5520.2,7162.3,9622.2,13394.6
2009,89608.2,108738.3,13388.8,18547.5,510.3,693.9,4563.3,6017.3,8315.1,11836.2
2010,88936.2,107845.0,12767.3,17737.2,525.3,704.6,4172.9,5518.3,8069.1,11514.2
2011,90601.1,109823.8,12995.8,18028.1,594.2,787.8,4183.2,5529.9,8218.3,11710.4
2012,92766.0,112234.9,13276.9,18400.9,639.8,847.8,4247.3,5645.5,8389.8,11907.7
2013,94578.9,114513.4,13468.4,18716.7,634.9,862.8,4424.3,5857.1,8409.2,11996.8
2014,96681.9,117047.7,13843.7,19201.2,652.8,890.4,4641.6,6150.8,8549.3,12160.0
2015,98747.6,119774.3,14121.3,19581.0,592.6,813.2,4863.3,6460.0,8665.4,12307.8
2016,100544.0,122101.5,14194.9,19718.2,471.5,668.1,5071.1,6726.7,8652.3,12323.5
2017,102411.6,124264.2,14429.2,20048.7,490.1,675.2,5227.9,6967.1,8711.2,12406.4
2018,104170.7,126440.7,14857.5,20667.9,541.2,726.7,5439.1,7288.3,8877.2,12652.9
2019,105567.4,128293.2,15054.8,20998.6,535.0,726.7,5583.9,7493.1,8935.9,12778.8
2020,97883.0,120179.6,14189.6,19979.8,426.0,599.3,5366.2,7255.4,8397.3,12125.0
2021,101233.2,124317.3,14476.9,20308.2,415.0,560.2,5500.2,7436.6,8561.7,12311.5
2022,106197.9,130349.5,15157.2,21136.5,455.6,605.1,5735.7,7762.9,8966.0,12768.5
2023,108326.5,133097.8,15414.5,21520.2,487.9,638.1,5886.6,8008.8,9040.0,12873.3
2024,109383.2,134325.8,15392.4,21620.2,483.0,625.5,5983.8,8205.3,8925.6,12789.3
