Year,total_product_tp,productive_labor_share_lpl,productive_employment_lp,surplus_ratio_sy,variable_capital_v,exploitation_rate_e,surplus_value_s,marxian_profit_rate_r
1965,1071.3242590922591,0.512,32649.14,0.5796,4340.02101,2.04,7276.15299,2.185
1966,1173.9769158444635,0.511,33912.18,0.578,4616.35834,2.07,7855.28479,2.2230000000000003
1967,1241.1539690399832,0.51,35074.68,0.5862,4941.1377,2.1,8509.25535,2.136
1968,1357.614400374238,0.509,37122.71,0.5818,5297.84569,2.1,9244.01192,2.158
1969,1468.6943170600257,0.508,38967.6,0.5888,5715.81701,2.1,10170.23296,2.082
1970,1549.0671978925986,0.507,40011.57,0.5885,5924.1948,2.1,10663.56866,1.943
1971,1681.1943369814428,0.506,42631.77,0.5775,6336.47892,2.1,11597.1378,1.958
1972,1846.1024924894477,0.505,42101.76,0.5898,6608.28973,2.1,12203.34496,2.036
1973,2057.2039827181707,0.504,41595.76,0.5884,6513.13615,2.1,12333.98611,2.064
1974,2230.204559265326,0.503,41612.34,0.5882,6628.79566,2.1,12638.20793,1.892
1975,2431.7732439004,0.502,41501.44,0.5889,6696.94736,2.1,12931.95134,1.865
1976,2703.8413917955777,0.501,42185.95,0.5927,6958.99812,2.1,13670.18433,1.953
1977,3004.6392941415024,0.5,44192.52,0.5882,7265.1195,2.1,14541.3208,1.986
1978,3393.9948677093394,0.488,46722.95,0.5834,7699.16837,2.128,15553.98696,1.982
1979,3791.9537802845557,0.477,47367.3,0.6025,8263.00578,2.157,16931.82968,1.884
1980,4123.868607475156,0.465,50889.81,0.5893,8800.67826,2.185,18290.05961,1.756
1981,4628.629581205566,0.453,51317.34,0.5927,8942.61819,2.213,18971.3117,1.7819999999999998
1982,4825.994017135976,0.442,51896.76,0.589,9059.64986,2.242,19526.42745,1.6840000000000002
1983,5244.902009679674,0.43,50542.23,0.5991,9107.78587,2.27,19932.48204,1.758
1984,5827.3701425270665,0.418,50175.85,0.5974,9118.89264,2.298,20373.13013,1.886
1985,6262.322979852688,0.407,50113.23,0.5977,9209.50889,2.327,20810.84108,1.864
1986,6609.649055813763,0.395,51222.0,0.5995,9542.64297,2.355,22098.3084,1.842
1987,7007.391477724475,0.383,53122.09,0.5962,9837.25276,2.383,23144.98657,1.868
1988,7557.599615018614,0.372,55069.04,0.6035,10433.78141,2.412,24850.63404,1.902
1989,8142.329353674522,0.36,58123.01,0.5991,11006.99557,2.44,26804.8101,1.863
1990,8606.433380611124,0.35,58730.14428366029,,8922.387224806178,2.538,-4002.182747965715,1.805
1991,8887.849595399575,0.348,57814.22473776838,,7232.581614401841,2.559,-2151.4945444331997,1.724
1992,9410.599500079152,0.346,58032.987464829275,,5862.807283632534,2.579,-482.86977149736686,1.786
1993,9898.759969655412,0.344,59484.26226412587,0.1601975049543526,4752.453698769276,2.6,906.5598512094684,1.824
1994,10517.457093571962,0.342,61718.89245132844,0.3592929825830904,3852.389319021218,2.621,2160.326656141044,1.885
1995,11026.228917680079,0.34,63682.260043613904,0.50460057221164,3122.787596889593,2.642,3180.7877036125333,1.908
1996,11651.703642666695,0.336,65231.04597835205,0.6199809647779398,2531.364711021764,2.686,4129.7876955743595,1.952
1997,12379.732881970938,0.332,67161.59119498235,0.7100682461403051,2051.9510537920364,2.73,5025.407760741349,1.986
1998,12888.608002164994,0.328,68907.94871133415,0.7775623965580903,1663.333264,2.776,5814.418870811076,2.024
1999,13626.109949196238,0.324,70609.45429202121,0.7797238778379176,1750.468968,2.822,6196.234246213931,2.0580000000000003
2000,14612.177820322268,0.32,72126.77217242977,0.7787812868894182,1871.08672,2.87,6586.998464975694,1.984
2001,14635.90901583132,0.318,71860.36920109269,0.7800760331865991,1920.194664,2.894,6810.980440845351,1.856
2002,14643.49321233421,0.316,70627.29946713471,0.7850105157077447,1938.69634,2.919,7078.93699393809,1.824
2003,15305.887148836811,0.314,70069.08008311587,0.7889467671026307,1995.032284,2.944,7457.712204259705,1.886
2004,16482.416212785472,0.312,71079.80212179819,0.7920248814380483,2096.4802560000003,2.969,7983.957589142998,1.985
2005,17880.599535818666,0.31,72831.89558729359,0.7963974552876604,2190.49317,2.995,8568.179680061101,2.028
2006,18952.66240922749,0.308,74694.72473764501,0.7979045987521259,2303.740208,3.021,9095.530600613878,2.0540000000000003
2007,19885.885556333367,0.306,75874.33861222287,0.7981353265934064,2410.81335,3.047,9531.90703448335,1.986
2008,20504.97617731945,0.304,75417.53399570167,0.7990197992656802,2449.275104,3.074,9737.373605928158,1.784
2009,18204.15114469205,0.302,71387.23306270422,0.8038468343841971,2343.223738,3.101,9602.664214629716,1.685
2010,19642.33498799049,0.3,70851.87780929955,0.8085188238582953,2377.6106999999997,3.128,10039.33151807193,1.826
2011,21186.575256579377,0.298,72178.23638280171,0.8095463868730887,2451.4001499999995,3.156,10419.97629569902,1.884
2012,22092.27510992476,0.296,73902.92475794426,0.8109086899286585,2535.9394479999996,3.184,10875.250347254077,1.925
2013,23004.458228022617,0.294,75347.18895273197,0.8135089766561001,2597.501466,3.212,11330.790735014214,1.958
2014,24047.774550170478,0.292,77022.56409843144,0.8140855861397337,2701.060736,3.241,11827.456337614973,1.984
2015,23987.467955397482,0.29,78668.22384092855,0.8136613268191092,2812.83151,3.27,12282.432731091836,1.962
2016,24247.41017424661,0.288,80099.34315226212,0.8150139863935693,2870.2391039999998,3.3,12645.739904589333,1.924
2017,25427.119707696485,0.286,81587.1846273493,0.815759995303639,2981.3703919999994,3.33,13200.622204632211,1.986
2018,27017.599109803003,0.284,82988.5885354805,0.8174166858616684,3111.902736,3.361,13931.838367539785,2.024
2019,27579.8082570174,0.282,84101.28300338275,0.8183761650436162,3227.944302,3.391,14544.746725998484,1.958
2020,26007.800043167917,0.28,77979.43194793198,0.8158691255396544,3247.4786400000007,3.423,14389.317196210377,1.725
2021,30536.299309894835,0.278,80648.40095084322,0.8216585366786535,3491.227972,3.463,16084.858861544108,1.984
2022,34678.616183724494,0.275,84603.57688325128,0.8280316305358433,3696.9286750000006,3.503,17800.796089847237,2.056
2023,35546.51738030546,0.273,86299.34651479474,0.8309775051943377,3878.6182890000005,3.545,19068.731372709433,1.982
2024,36793.99537928117,0.27,87141.17671758153,0.8321614443539582,4057.30593,3.587,20116.555161586937,1.954
2025,44422.419436010445,,,,,,,
