Year,total_product_tp,variable_capital_v,surplus_value_s,exploitation_rate_e,surplus_ratio_sy,productive_labor_share_lpl,marxian_profit_rate_r,productive_employment_lp
1965,1071.3242590922591,4340.02101,7276.15299,2.04,0.5796,0.512,2.185,32649.14
1966,1173.9769158444635,4616.35834,7855.28479,2.07,0.578,0.511,2.2230000000000003,33912.18
1967,1241.1539690399832,4941.1377,8509.25535,2.1,0.5862,0.51,2.136,35074.68
1968,1357.614400374238,5297.84569,9244.01192,2.1,0.5818,0.509,2.158,37122.71
1969,1468.6943170600257,5715.81701,10170.23296,2.1,0.5888,0.508,2.082,38967.6
1970,1549.0671978925986,5924.1948,10663.56866,2.1,0.5885,0.507,1.943,40011.57
1971,1681.1943369814428,6336.47892,11597.1378,2.1,0.5775,0.506,1.958,42631.77
1972,1846.1024924894477,6608.28973,12203.34496,2.1,0.5898,0.505,2.036,42101.76
1973,2057.2039827181707,6513.13615,12333.98611,2.1,0.5884,0.504,2.064,41595.76
1974,2230.204559265326,6628.79566,12638.20793,2.1,0.5882,0.503,1.892,41612.34
1975,2431.7732439004,6696.94736,12931.95134,2.1,0.5889,0.502,1.865,41501.44
1976,2703.8413917955777,6958.99812,13670.18433,2.1,0.5927,0.501,1.953,42185.95
1977,3004.6392941415024,7265.1195,14541.3208,2.1,0.5882,0.5,1.986,44192.52
1978,3393.9948677093394,7699.16837,15553.98696,2.128,0.5834,0.488,1.982,46722.95
1979,3791.9537802845557,8263.00578,16931.82968,2.157,0.6025,0.477,1.884,47367.3
1980,4123.868607475156,8800.67826,18290.05961,2.185,0.5893,0.465,1.756,50889.81
1981,4628.629581205566,8942.61819,18971.3117,2.213,0.5927,0.453,1.7819999999999998,51317.34
1982,4825.994017135976,9059.64986,19526.42745,2.242,0.589,0.442,1.6840000000000002,51896.76
1983,5244.902009679674,9107.78587,19932.48204,2.27,0.5991,0.43,1.758,50542.23
1984,5827.3701425270665,9118.89264,20373.13013,2.298,0.5974,0.418,1.886,50175.85
1985,6262.322979852688,9209.50889,20810.84108,2.327,0.5977,0.407,1.864,50113.23
1986,6609.649055813763,9542.64297,22098.3084,2.355,0.5995,0.395,1.842,51222.0
1987,7007.391477724475,9837.25276,23144.98657,2.383,0.5962,0.383,1.868,53122.09
1988,7557.599615018614,10433.78141,24850.63404,2.412,0.6035,0.372,1.902,55069.04
1989,8142.329353674522,11006.99557,26804.8101,2.44,0.5991,0.36,1.863,58123.01
1990,8606.433380611124,8922.387224806178,-4002.182747965715,2.538,,0.35,1.805,58730.14428366029
1991,8887.849595399575,7232.581614401841,-2151.4945444331997,2.559,,0.348,1.724,57814.22473776838
1992,9410.599500079152,5862.807283632534,-482.86977149736686,2.579,,0.346,1.786,58032.987464829275
1993,9898.759969655412,4752.453698769276,906.5598512094684,2.6,0.1601975049543526,0.344,1.824,59484.26226412587
1994,10517.457093571962,3852.389319021218,2160.326656141044,2.621,0.3592929825830904,0.342,1.885,61718.89245132844
1995,11026.228917680079,3122.787596889593,3180.7877036125333,2.642,0.50460057221164,0.34,1.908,63682.260043613904
1996,11651.703642666695,2531.364711021764,4129.7876955743595,2.686,0.6199809647779398,0.336,1.952,65231.04597835205
1997,12379.732881970938,2051.9510537920364,5025.407760741349,2.73,0.7100682461403051,0.332,1.986,67161.59119498235
1998,12888.608002164994,1663.333264,5814.418870811076,2.776,0.7775623965580903,0.328,2.024,68907.94871133415
1999,13626.109949196238,1750.468968,6196.234246213931,2.822,0.7797238778379176,0.324,2.0580000000000003,70609.45429202121
2000,14612.177820322268,1871.08672,6586.998464975694,2.87,0.7787812868894182,0.32,1.984,72126.77217242977
2001,14635.90901583132,1920.194664,6810.980440845351,2.894,0.7800760331865991,0.318,1.856,71860.36920109269
2002,14643.49321233421,1938.69634,7078.93699393809,2.919,0.7850105157077447,0.316,1.824,70627.29946713471
2003,15305.887148836811,1995.032284,7457.712204259705,2.944,0.7889467671026307,0.314,1.886,70069.08008311587
2004,16482.416212785472,2096.4802560000003,7983.957589142998,2.969,0.7920248814380483,0.312,1.985,71079.80212179819
2005,17880.599535818666,2190.49317,8568.179680061101,2.995,0.7963974552876604,0.31,2.028,72831.89558729359
2006,18952.66240922749,2303.740208,9095.530600613878,3.021,0.7979045987521259,0.308,2.0540000000000003,74694.72473764501
2007,19885.885556333367,2410.81335,9531.90703448335,3.047,0.7981353265934064,0.306,1.986,75874.33861222287
2008,20504.97617731945,2449.275104,9737.373605928158,3.074,0.7990197992656802,0.304,1.784,75417.53399570167
2009,18204.15114469205,2343.223738,9602.664214629716,3.101,0.8038468343841971,0.302,1.685,71387.23306270422
2010,19642.33498799049,2377.6106999999997,10039.33151807193,3.128,0.8085188238582953,0.3,1.826,70851.87780929955
2011,21186.575256579377,2451.4001499999995,10419.97629569902,3.156,0.8095463868730887,0.298,1.884,72178.23638280171
2012,22092.27510992476,2535.9394479999996,10875.250347254077,3.184,0.8109086899286585,0.296,1.925,73902.92475794426
2013,23004.458228022617,2597.501466,11330.790735014214,3.212,0.8135089766561001,0.294,1.958,75347.18895273197
2014,24047.774550170478,2701.060736,11827.456337614973,3.241,0.8140855861397337,0.292,1.984,77022.56409843144
2015,23987.467955397482,2812.83151,12282.432731091836,3.27,0.8136613268191092,0.29,1.962,78668.22384092855
2016,24247.41017424661,2870.2391039999998,12645.739904589333,3.3,0.8150139863935693,0.288,1.924,80099.34315226212
2017,25427.119707696485,2981.3703919999994,13200.622204632211,3.33,0.815759995303639,0.286,1.986,81587.1846273493
2018,27017.599109803003,3111.902736,13931.838367539785,3.361,0.8174166858616684,0.284,2.024,82988.5885354805
2019,27579.8082570174,3227.944302,14544.746725998484,3.391,0.8183761650436162,0.282,1.958,84101.28300338275
2020,26007.800043167917,3247.4786400000007,14389.317196210377,3.423,0.8158691255396544,0.28,1.725,77979.43194793198
2021,30536.299309894835,3491.227972,16084.858861544108,3.463,0.8216585366786535,0.278,1.984,80648.40095084322
2022,34678.616183724494,3696.9286750000006,17800.796089847237,3.503,0.8280316305358433,0.275,2.056,84603.57688325128
2023,35546.51738030546,3878.6182890000005,19068.731372709433,3.545,0.8309775051943377,0.273,1.982,86299.34651479474
2024,36793.99537928117,4057.30593,20116.555161586937,3.587,0.8321614443539582,0.27,1.954,87141.17671758153
2025,44422.419436010445,,,,,,,
